我的七年,1640000
细菌大作战,1000000
平凡之路,2180000
我的23岁,114000
红色警戒999,824000
致命诱惑,3720000
兵临城下,5830000
谁的青春不热血之深流不息,1090000
侠僧探案传奇之大夜叉,60900
双重追击,153000
万箭穿心,1450000
魔镜奇缘,783000
全城通缉,575000
十五岁的笑脸,1510000
电子情书,521000
分手不分手,63500000
我的战争,18200000
南京！南京！,100000000
重返大海,365000
自我救赎,1300000
时光恋人,1270000
妈妈让我再爱你一次,107000
睡在我上铺的兄弟,1420000
太空熊猫历险记,369000
天若有情,3040000
21岁派对,235000
故园秋色,37200
阿童木,4280000
千锤百炼,6330000
兰梅记,36800
天亮了,7900000
特种部队,15500000
虐面人之死灵面膜,136000
我就是我,10400000
北京爱情故事,3240000
爱情不等式,1070000
舞台姐妹,374000
上学路上,2710000
打擂台,3190000
新红河谷,1160000
吴哥的微笑,428000
马小乐之玩具也疯狂,548000
黑衣人3,1290000
六壮士,425000
不再让你孤单,713000
双子神偷,253000
喜羊羊与灰太狼之羊年喜羊羊,1280000
北京·纽约,3680000
星星的梦,51100
匆匆那些年,2070000
勇士,79700000
笔尖沧桑,2010
丛林之王,789000
开心超人2启源星之战,66900
最后一课,3340000
王者之心,709000
宝贝快跑,869000
环游地球80天/80日环游世界,13600
铁血大动脉,99000
宾虚,51800000
欲望森林,960000
一号目标,1150000
三笑之才子佳人,373000
猪猪侠之囧囧危机,253000
六扇门之绝战,86800
赛尔号大电影3之战神联盟,583000
无用,74000000
末日情人,1160000
空山鸟语,858000
功夫之王,1740000
喜羊羊与灰太狼之兔年顶呱呱,227000
太平轮：彼岸,805000
枕边有张脸,1420000
一家老小向前冲,377000
妮莎罕,727
我的老公是卧底,1500000
潜艇总动员2,575000
功夫世家,331000
纯真年代,3110000
红高粱,8050000
我和我们,25300000
熊出没注意,274000
飓风营救3,1570000
飓风营救2,1700000
金钱帝国,889000
杨善洲,1880000
毛丰美,569000
风暴,84100000
冰雪奇缘,5170000
守望女,31400
老井,1960000
穿越火线,78900000
我的1000万,716000
寄生兽,6820000
日本沉没,456000
美丽的夜晚,9490000
终极审判,324000
小巷总理,278000
被风吹过的记忆,495000
乱世护宝,1140
饥饿游戏2:星火燎原,449000
有招没招,931000
天边的孩子,1570000
找个高富帅,1400000
多梦季节,15600
挑战者,18200000
城市门,3410000
云的模样,3070000
战金刚,13100
狄仁杰之通天帝国,685000
母亲的飞机场,1030000
蜡笔总动员,492000
山乡书记,26300
蝴蝶飞,2540000
水墨大别山,32000
陪安东尼度过漫长岁月,825000
黑太阳731,274000
大唐风云,234000
惊爆红色十月,68100
隋朝来客,205000
第一眼爱情,1080000
午夜43路,57200
天亮以后不分手,101000
幸福中转栈,20200
后会无期,13300000
单身男女2,1180000
犀利人妻,466000
我要你开花,311000
玩命追踪,176000
B区32号,414000
太极先锋,602000
魁拔之大战元泱界,237000
再见巨人,725000
老百姓是天,4060000
摩纳哥王妃,813000
消失的爱人,1050000
我是你的野蛮女友,301000
生死传递,381
上海“文学与电影”展映活动,29400
穿越硝烟的歌声,371000
斗艳,16900000
天云山传奇,278000
我的诗篇,2310000
制服,80600000
皇帝的新装之圣诞大明星,1720000
猩球崛起,2360000
工作及累,844000
孤胆特工,343000
爱情的捉弄,1310000
死亡游戏,2380000
寻找心中的你,250000
大道如天,47800
岁月无声,1270000
库布里克回顾展,1620
精武风云陈真,370000
扬起你的笑脸,40200
探秘者,267000
红鹰侠,141000
致命闪玩,171000
末日迷踪,376000
精武青春,671000
床下有人,848000
疯狂动物城,2950000
第三种爱情,1680000
蓝色骨头,482000
叛逆女特工,2890
钱学森,7920000
男左女右,3200000
大城小事,3150000
龙之谷：破晓奇兵,522000
欲链迷情,125000
越光宝盒,1540000
爱情攻略,436000
大话西游之大圣娶亲,753000
爱的钟声,1670000
杨贵妃,11200000
真相禁区,925000
超验骇客,522000
异种,14400000
0.5的爱情,7000000
人在囧途,1680000
昆塔;盒子总动员,168000
痞子;洛克,365000
天河,77500000
全城高考,1010000
