王菀晨,18200
周娇,191000
牟天翔,8490
星木映像股份有限公司,55
欧力豪,27700
孙率航,20700
邓紫衣,480000
嘉兴尚文文化传媒有限公司,12500
戴恩·罗兹,19200
大卫·休里斯,606000
刘潇珂,7700
沙溢,7470000
Queen Film ,4520000
严俊熙,8970
todd lewis,3050000
陈建斌,8620000
剧麦发行,185000
迈克尔·珊农,812000
郭大雷,75100
Di Bonaventura Pictures ,158000
廖智,565000
董立苑,3
北京京艺达文化传播有限公司,56
上海腾讯影业文化传播有限公司,1440000
领航传媒,1180000
jim cochrane,215000
河北影视集团有限公司,62300
郭鹏,2780000
克里丝特拉·阿隆佐,1210
杨雯雯,172000
布拉德·威廉姆·亨克,58600
杨乐乐,2250000
李美慧,162000
中共唐山市委宣传部,343000
京兆鸿（北京）投资管理有限公司,79
张再新,99300
于小伟,2000000
中影寰亚音像制品有限公司,14700
叶伟信,1650000
杭州潜影文化创意,1030
鲍起静,1370000
鲁敏宇,607000
Hoyts Distribution ,27100
福州华文影视传媒有限公司,100
曲海峰,72100
意汇传媒,19300
安妮·维理丝黛娜,2740
曹蕾,404000
杨童舒,1030000
艾什莉·本森,414000
takeshi sato,203000
杨梦露,799000
史航,952000
漫动时空（香港）有限公司,17200
冯永辉,193000
丁增,45000
北京名将影视文化传播有限公司,607000
刘亚津,672000
巩新亮,1530000
柳明,583000
张晏精,28300
Haut et Court ,666000
朱义昌,3800
Richard Suckle ,86600
中视尚影（北京）文化传媒有限公司,5240
田蕾希,27000
无锡国家数字电影产业园,233000
马红雷,5670
陈志健,64100
容祖儿,9560000
王皓祯,148000
弗兰克·卡皮莱里,6350
维纳格拉多娃·卡捷琳娜,63200
闫安,412000
王丹戎,74500
maria cestone,1040000
汪冰雪,83
刘子威,68400
王柏杰,1210000
青岛飞拉利集团有限公司,2780
布隆森·韦伯,75600
上海骑兵文化传播有限公司,91800
叶鹏,962000
金志文,2680000
邬祯琳,98200
欧豪,4080000
阿旺仁青,134000
新线电影公司,365000
大卫·郝伯曼,4460
上海麦丹影视文化有限公司,16400
中成影视文化有限公司,6320
dennis kelly,2290000
王惠春,27200
格温多兰·克里斯蒂,113000
皮尔弗朗西斯科·法维诺,240000
张丰毅,3530000
许绍洋,1010000
管霄超,3510
王砚辉,325000
罗仲谦,4020000
赵普,2540000
王聪,2160000
郑晓佳,14300
玛娅·鲁道夫,543000
蒋卓元,96
呼伦贝尔金马文化创意产业（影视）有限公司,914000
赵晔,602000
盛君,638000
阿曼德拉·斯坦伯格,32500
保罗j·波特,505000
北京致信惠远科技文化发展有限公司,23
谢晶,707000
鹿鸣影业有限公司,30000
艾玛·斯通,1130000
孟霞,1380000
北京景鸿影业投资有限公司,7260
叶世荣,1090000
阿莫里·诺拉斯科,131000
萧敬腾,14800000
帼星电影文化产业（北京）有限公司,70000
峰村理恵,67100
杨淇,684000
丽塔·莫雷诺,104000
卢夫斯·塞维尔,434000
刘雅瑟,723000
曹桂千,39000
天津完美世界影视文化有限公司,41400
尼克·弗罗斯特,417000
美国欧姆布拉影片公司,11700
王良,3170000
北京岳松影视文化有限公司,5610
翟子陌,357000
武汉江通动画股份有限公司,21400
托马斯·雷玛奎斯,12000
paul green,5460000
米切尔·格罗斯,92800
广州长长影视文化有限公司,125000
克里斯·巴克,448000
田雨橙,938000
香港星汇影视有限公司,59300
迟志强,457000
吴荻,596000
诺亚·约翰斯顿,20500
苗苗,12000000
黑戈,16700
广州文化产业投资管理有限公司,351000
北京星美嘉映影业有限公司,18500
陆莹,203000
曾泳醍,505000
桑平,156000
摩西黛丝·莱杰特,1400
昊星姐弟（北京）国际文化传媒有限公司,33
约瑟芬·德·拉·鲍梅,26900
邵氏兄弟（香港）有限公司,227000
朱梦婷,80400
是安,100000000
梁剑伟,5250
东宝盛世国际影视文化（北京）有限公司,178000
李翌辰,4930
张宁江,338000
东北亚(肇东)文化创意有限公司,4510
邹佡,182000
帕兹·维嘉,362000
北京星光大道影视制作有限公司,28500
戴夫·巴蒂斯塔,1160000
黄小蕾,2850000
Irish Film Board ,2160000
立德星影视文化传媒（北京）有限公司,89500
北京盟将威影视文化有限公司,14900
韩立,1510000
斯维特拉纳·库德钦科娃,99100
王长田,605000
王震森,18500
高其昌,17900
黄军军,35400
todd hallowell,85900
夏星翎,142000
宋伟,1690000
黑龙江龙视文化传媒集团,25900
杜丽莎,366000
郎祖筠,258000
北京中泰世博文化传播有限责任公司,217000
韩志硕,195000
IFF/CINV ,2420
辉煌连线（北京）国际文化传媒有限公司,551000
邢燕子,138000
聂欣,121000
中共锦屏县委,334000
刘继勋,84700
威海金马影视城有限公司,31500
丹·安东尼亚兹,4010
3d中华有限公司,3590000
TriStar Productions ,141000
肖央,866000
莱斯莉·琼斯,190000
牛萌萌,971000
乔纳·希尔,17100000
程耳,151000
余男,1930000
江苏沙钢集团有限公司,135000
王鑫尧,56800
袁睿玥,5740
星辉海外有限公司,9860
摩撒利,53100
Tatrafilm ,64800
春秋时代（天津）影业有限公司,115000
王学兵,5070000
易建联,17400000
李欣潞,6290
时尚传媒集团,1010000
约翰·加文,209000
河南山川影视文化传播有限公司,8010
彭永琛,52600
纳赞宁·波妮阿蒂,847000
叶宁,484000
柯宇纶,320000
黄柏基,43600
周柏臻,13200
康宁,15200000
Turner Network Television (TNT) ,254000
张坚庭,1010000
阿荣影业有限公司,12700
何强,1010000
艾米丽·万凯普,227000
吴东毅,3410
eric j. crown,1870000
俞小真,2950
王卓,1940000
徐敏,2800000
银都机构有限公司,117000
曹大伟,58600
Noerlum Studios ,3670
徐贤,3150000
中国动漫集团公司,8470000
冯四,345000
北京数字印象文化传播有限公司,424000
Legend3D ,3240000
尹志文,77300
曹旭鹏,55900
冯静,922000
马克·盖·汤普森,324000
葛欣,252000
徐才根,141000
尹铸胜,458000
巨力影视传媒有限公司,26900
北京视天嘉艺影视文化有限公司,6290
马里奥·安德鲁西奥,59900
西蒙·佩吉,1650000
陈珠珠,14200
夏健龙,4310
天津涌熙投资咨询有限公司,629000
曹操,50100000
南京蝶蕴文化传媒有限公司,24
马克斯·兰迪斯,27700
姚居德,173000
张艾青,63200
马洪虎,5190
保罗·赫伯特,396000
乔什·卢卡斯,755000
朱丽·沃特斯,430000
拉扎尔·里斯托夫斯基,60400
李大鹏,751000
四川省太平洋电影院线有限公司,172000
北京华夏星城影视文化艺术有限公司,444000
北京华艺天鑫文化发展有限公司,17800
赵立新,1730000
北京创世星国际影视文化有限公司,113000
约翰尼·帕博顿,4270
四川天空之境影业有限公司,51200
john bartnicki,110000
索菲亚·迈尔斯,133000
枫海影业有限公司,27400
威廉·莫斯里,715000
刘品言,721000
林玎,11100
魏德圣,575000
陈嘉佳,195000
于向远,30000
常戎,507000
杭州一线文化传媒有限公司,947000
卢克·巴隆,20200
傅天余,37400
共青团黔东南州委,45900
张长征,116000
樱果无限（北京）文化传播有限公司,62
陈国良,793000
青岛海洋传奇影视制作有限公司,92600
赵健,2440000
何育骏,94500
