Moviename,Type,weight
对风说爱你,爱情,0.24008282951345553
哆啦A梦：伴我同行,动画/家庭,0.12475399246455186
哆啦A梦：新·大雄的日本诞生,冒险/动画,0.42495691242421013
夺宝联盟,动作/犯罪,0.5684805778019948
夺命地铁,,0.05156649382427688
夺命旅行,惊悚,0.1421112205107126
夺命枪火,,0.05156649382427688
夺命追踪,惊悚/悬疑,0.23938750780056572
夺樽,动作,0.49722788404539064
恶棍天使,喜剧,0.28656422771478607
恶灵之门,惊悚/恐怖/悬疑,0.243915949843127
恶人报喜,喜剧,0.28656422771478607
恶战,动作,0.49722788404539064
发条城市,喜剧,0.28656422771478607
反贪风暴,动作/反腐,0.4980553033471512
反贪风暴2,,0.05156649382427688
返乡,剧情,0.058927121511060734
房车奇遇,爱情/喜剧,0.5266470572282416
放手爱,爱情,0.24008282951345553
飞鹰艾迪,喜剧/运动/传记,0.3043988169915057
飞鹰艾迪,喜剧/运动/传记,0.3043988169915057
飞鱼秀,纪实/记录,0.007997782561069634
非常幸运,爱情/冒险/喜剧,0.8600522033376993
非狐外传,爱情/古装/喜剧/魔幻,0.5888812969398157
非你勿扰,爱情/喜剧,0.5266470572282416
非秀不可,爱情/都市/励志,0.25127520050216157
斐济99℃爱情,爱情/喜剧,0.5266470572282416
废柴特工,动作/喜剧,0.7837921117601767
分歧者：异类觉醒,动作/爱情/冒险/科幻,1.2635779394344449
分歧者2：绝地反击,动作/爱情/科幻/冒险,1.2635779394344449
分歧者3：忠诚世界,科幻/动作/冒险/悬疑,1.1207713972108424
分手不分手,爱情,0.24008282951345553
分手达人,爱情/喜剧,0.5266470572282416
分手大师,喜剧/爱情,0.5266470572282416
分手合约,爱情,0.24008282951345553
分手再说我爱你,爱情,0.24008282951345553
粉红女郎之爱人快跑,爱情,0.24008282951345553
愤怒的小孩,喜剧,0.28656422771478607
风暴,动作/警匪,0.5248815449630072
风云1927,战争/历史,0.04381872449327998
封门村,惊悚/悬疑/恐怖,0.243915949843127
封门诡影,惊悚,0.1421112205107126
封神传奇,动作/奇幻/剧情,0.6231235745313454
疯狂72小时,喜剧/爱情,0.5266470572282416
疯狂的导演,喜剧,0.28656422771478607
疯狂的疯狂,喜剧/悬疑,0.38384051500463917
疯狂动物城,动画/冒险,0.42495691242421013
疯狂外星人,动画/冒险/喜剧,0.7115211401389963
蜂鸟特攻,动作/惊悚/犯罪,0.7105917983127074
复仇者联盟2：奥创纪元,科幻/动作/冒险,1.0234951099209892
敢死队3,动作/惊悚/冒险,0.9727442506655609
钢刀,动作/战争,0.536894534605986
钢琴木马,爱情/悬疑,0.3373591168033086
钢铁侠3,科幻/动作/冒险,1.0234951099209892
港囧,喜剧,0.28656422771478607
高跟鞋先生,喜剧/爱情,0.5266470572282416
高铁英雄,动画,0.09155176631475245
哥斯拉,科幻/灾难/动作,0.7035715508526234
隔壁惊魂,惊悚,0.1421112205107126
