date,box,name_meta,moviename,stars,faxing,zhizuo,daoyan,zhizuor,theme
1/8/2014,1005.95,不再说分手,不再说分手,周秀娜;温心;钱嘉乐;郑伊健;葛民辉;杨千嬅;汤盈盈;林德信;王菀之;何浩鹏;,华夏电影发行有限责任公司;寰亚电影发行（北京）有限公司;,寰亚影视发行（香港）有限公司;中影寰亚音像制品有限公司;太阳娱乐文化有限公司;寰亚电影发行（北京）有限公司;,郑丹瑞;,,爱情
15/11/2013,451.29,步步追魂,步步追魂,袁成杰;谭卓;米学东;徐婕儿;,上海电影股份有限公司影视发行分公司;江苏幸福蓝海院线有限责任公司;上海极客文化传播有限公司;,上海梵摩影视制作有限公司;上海开圣影业文化传媒有限公司;开圣佳视（北京）文化传播有限公司;,江澄;,,惊悚/悬疑
7/5/2014,525.9,怖偶,怖偶,郑昊;阚清子;杨彩旗;贾伟;,北京乾坤星光文化传播有限公司;火山石（北京）影视文化有限公司;鑫岳影业;深圳市大方影逸科技有限公司;广州星伯乐文化传播有限公司;北京益泰东方文化传媒有限公司;,北京龙韵时空文化传播有限公司;中视合利(北京)文化投资有限公司;,王松;,,惊悚
27/3/2015,179.39,菜鸟,菜鸟,柯有伦;崔允素;刘亚鹏;张艾青;程思涛;罗开元;徐鸣飞;,麒丰（上海）影视制作有限公司;麒力（上海）文化传媒有限公司;,麒麟网（北京）影视文化传媒有限公司;麒丰（上海）影视制作有限公司;上海宝影广告传播有限公司;上海埃圣玛金属科技集团有限公司;风和投资管理咨询（上海）有限公司;北京盛洪觉文化传媒有限公司;,项华祥;,,喜剧/爱情
11/5/2013,6.94,残团,残团,李梅可;范雨林;,华夏电影发行有限责任公司;,华夏电影发行有限责任公司;北京真实焦点影视文化传播有限公司;呼和浩特市信迪文化传媒有限公司;,蔡抒南;,,战争/爱情
7/11/2014,426.11,拆散专家,拆散专家,林雪;贾一平;张峻宁;黄圣依;刘天佐;,国盛新影（北京）影视发行有限公司;北京宇际星海广告有限公司;,宇际星海传媒;北京笨鸟高飞影视文化有限公司;北京百度糯米信息技术有限公司;北京玖门肆城影视文化有限公司;,李坚;裘仲维;,,爱情
4/5/2014,47170.25,超凡蜘蛛侠2,超凡蜘蛛侠2,克里斯·泽尔卡;阿曼达·戴尔;科鲁姆·费奥瑞;卡丽·科尔曼;莎拉·加顿;马尔顿·索克斯;戴恩·德哈恩;吉姆·甘特;斯坦·李;杰米·福克斯;安德鲁·加菲尔德;艾玛·斯通;菲丽希缇·琼斯;保罗·吉亚玛提;马丁·辛;莎莉·菲尔德;丹尼斯·利瑞;克里斯·库柏;b·j·诺瓦克;,华夏电影发行有限责任公司;,哥伦比亚影片公司;,马克·韦布;,,科幻/动作/冒险
14/7/2016,487.29,超级保镖,超级保镖,释延能;岳松;邹兆龙;李长海;杨骏;尚铁龙;徐冬梅;李宇菲;董江涛;陈惠敏;姜宝成;元武;,福建恒业影业有限公司;台湾卢米埃电影股份有限公司;北京顶峰传奇影视文化有限公司;广东昇格传媒有限公司;北京先锋传奇影视文化有限公司;重庆越界国际影院投资股份有限公司;恒大院线管理有限公司;中广国际数字电影院线（北京）有限公司;,福建恒业影业有限公司;北京泛亚视觉文化传播有限公司;北京海润影业有限公司;北京岳松影视文化有限公司;福星全亚文化传媒（上海）有限公司;克诺影视传媒（北京）有限公司;深圳华谊影业有限公司等出品;北京先锋传奇影视文化有限公司;拉卡拉影业有限公司;深圳前海时代影业有限公司;北京长龙兄弟影视文化传播有限公司;北京海纳三川文化发展有限公司;北京盛品国际影视传媒有限公司;,岳松;,,动作
15/7/2016,487.29,超级保镖,超级保镖,释延能;岳松;邹兆龙;李长海;杨骏;尚铁龙;徐冬梅;李宇菲;董江涛;陈惠敏;姜宝成;元武;,福建恒业影业有限公司;台湾卢米埃电影股份有限公司;北京顶峰传奇影视文化有限公司;广东昇格传媒有限公司;北京先锋传奇影视文化有限公司;重庆越界国际影院投资股份有限公司;恒大院线管理有限公司;中广国际数字电影院线（北京）有限公司;,福建恒业影业有限公司;北京泛亚视觉文化传播有限公司;北京海润影业有限公司;北京岳松影视文化有限公司;福星全亚文化传媒（上海）有限公司;克诺影视传媒（北京）有限公司;深圳华谊影业有限公司等出品;北京先锋传奇影视文化有限公司;拉卡拉影业有限公司;深圳前海时代影业有限公司;北京长龙兄弟影视文化传播有限公司;北京海纳三川文化发展有限公司;北京盛品国际影视传媒有限公司;,岳松;,,动作
6/9/2013,2632.13,超级经纪人,超级经纪人,何炅;陈思璇;杜汶泽;卢海鹏;蔡卓妍;车婉婉;郑希怡;张致恒;吴浩康;陆永;泳儿;洛诗;霍汶希;张敬轩;王敏奕;张继聪;王祖蓝;,大地时代电影发行（北京）有限公司;,大地时代电影文化传播(北京)有限公司;英皇电影发行（北京）有限公司;英皇娱乐集团有限公司;英皇（北京）文化发展有限公司;,冯志强;,,爱情/都市
4/7/2014,45.5,超萌英雄,超萌英雄,杨舒婷;欧弟;,北京紫禁城三联影视发行有限公司;,北京中博世纪影视传媒有限公司;北京新华兆讯文化传媒有限公司;新疆生产建设兵团广播电视台;北京时代非鹭文化传播有限公司;,欧阳奋强;,,喜剧/爱情
13/5/2016,9054.52,超脑48小时,超脑48小时,瑞安·雷诺兹;盖尔·加朵;凯文·科斯特纳;加里·奥德曼;汤米·李·琼斯;爱丽丝·伊芙;迈克尔·皮特;史蒂文·布兰德;亨利·加内特;斯科特·阿特金斯;安婕·特拉乌;阿莫里·诺拉斯科;詹迪·莫拉;李·尼古拉斯·哈里斯;保罗·布莱克威尔;科林·萨尔蒙;罗伯特·戴维;朱利安·斯通;李·阿斯奎斯-科;,Metropolitan Filmexport ;Splendid Film ;Golden Village Pictures ;Eagle Films ;乐视影业（北京）有限公司;VVS Films ;Roadshow Films ;千禧年影业;顶峰娱乐公司;中国电影集团公司;lions gate;顶峰娱乐;,狮门影业公司;千年影业;千禧年影业;Campbell Grobman Films ;BenderSpink ;狮门影业;,阿里尔·弗罗门;,chris bender;jason bloom;克里斯蒂娜·坎贝尔;christine crow;boaz davidson;马克·吉尔;lati grobman;艾威·勒纳;matthew o'toole;lonnie ramati;trevor short;j.c. spink;john thompson;jake weiner;s. esther hornstein;ran mor;christine otal;jason potter;塞缪尔·哈迪达;victor hadida;,动作/犯罪/剧情
8/5/2015,9431.34,超能查派,超能查派,戴夫·帕特尔;休·杰克曼;霍塞·帕布罗·坎蒂罗;罗伯特·胡布斯;安德森·库珀;沙尔托·科普雷;西格妮·韦弗;詹森·库伯;布兰登·欧瑞特;,哥伦比亚影片公司;索尼电影娱乐公司;华夏电影发行有限责任公司;索尼发行公司;环球影片公司;,索尼电影娱乐公司;,尼尔·布洛姆坎普;,,科幻/动作/惊悚
28/2/2015,34197.35,超能陆战队,超能陆战队,詹姆斯·克伦威尔;丹尼尔·海尼;玛娅·鲁道夫;瑞恩·波特;珍妮塞丝·罗德里格兹;小达蒙·威亚斯;斯科特·埃德希特;杰米·钟;艾伦·图代克;t·j·米勒;,华夏电影发行有限责任公司;,华特·迪士尼动画公司;,唐·霍尔;,,动画/动作/喜剧
14/7/2016,1864.87,超能太阳鸭,超能太阳鸭,亚历山大·克洛文;尼基塔·普列斯尼亚..;王栎鑫;米切尔·格罗斯;罗比·戴蒙德;恩·赖特尔;马克·戴卡洛;杰西·科尔蒂;迈克尔·格罗斯;,北京百度糯米信息技术有限公司;永康枫海影业有限公司;枫海影业有限公司;枫海科技;,合一影业有限公司;北京百度糯米信息技术有限公司;永康枫海影业有限公司;枫海影业有限公司;枫海科技;果果传媒有限公司;,viktor lakisov;维克托·拉基索夫;维克多·拉基索夫;,ruben atoyan;oksana brovchenko;jin cai;vsevolod zorin;,动画
15/7/2016,1864.87,超能太阳鸭,超能太阳鸭,亚历山大·克洛文;尼基塔·普列斯尼亚..;王栎鑫;米切尔·格罗斯;罗比·戴蒙德;恩·赖特尔;马克·戴卡洛;杰西·科尔蒂;迈克尔·格罗斯;,北京百度糯米信息技术有限公司;永康枫海影业有限公司;枫海影业有限公司;枫海科技;,合一影业有限公司;北京百度糯米信息技术有限公司;永康枫海影业有限公司;枫海影业有限公司;枫海科技;果果传媒有限公司;,viktor lakisov;维克托·拉基索夫;维克多·拉基索夫;,ruben atoyan;oksana brovchenko;jin cai;vsevolod zorin;,动画
30/5/2015,144.98,超能兔战队,超能兔战队,申克;宋磊;李思娴;黎泰承;李旭乔;张子焜;刘红韵;白文显;周岩;童雨欣;,,广东光和传媒有限公司;广州海力动漫文化发展有限公司;广州演出有限公司;佛山市顺德区乐看动漫设计有限公司;洛阳世为动漫发展有限公司;,傅燕;,,动画/喜剧
20/6/2013,32560.88,超人：钢铁之躯,超人：钢铁之躯,艾米·亚当斯;阿耶莱特·祖里尔;凯文·科斯特纳;理查德·希夫;瑞贝卡·斯宾塞;亨利·卡维尔;安婕·特拉乌;克里斯托弗·米洛尼;塔莫·潘尼凯;艾伦·坡尔;劳伦斯·菲什伯恩;罗素·克劳;黛安·莲恩;,Warner Bros. ;华夏电影发行有限责任公司;,传奇影业;,扎克·施奈德;,,动作/科幻/冒险
24/10/2014,24933.6,超体,,,,,,,
18/4/2014,12063.38,超验骇客,超验骇客,摩根·弗里曼;丽贝卡·豪尔;约翰尼·德普;希里安·墨菲;詹姆斯·伯内特;杰梅因·华盛顿;克里斯汀·拉克丝;乔什·斯图沃特;科尔·豪瑟;保罗·贝坦尼;查德·布鲁迈特;科里·哈德里克;迪伦·凯宁;法尔克·亨特施尔;小克利夫顿·克林斯;华莱士·朗翰;凯特·玛拉;,华夏电影发行有限责任公司;,艾肯娱乐公司;dmg娱乐传媒集团;,瓦利·菲斯特;,,科幻/动作
20/6/2014,25641.3,沉睡魔咒,沉睡魔咒,安吉丽娜·朱莉;朱利安·西格尔;萨姆·赖利;史蒂文·克瑞;莱丝利·曼维尔;布兰顿·思怀兹;汉娜·纽;赛芮·杰罗姆;凯伦·安德森;肯尼斯·克兰哈姆;艾拉·彭内尔;赫敏·科菲尔德;沙尔托·科普雷;朱诺·坦普尔;艾丽·范宁;杰米·西弗斯;伊梅尔达·斯汤顿;米兰达·理查森;彼得·卡帕尔蒂;丹尼尔·哈兰德;,华夏电影发行有限责任公司;,华特·迪斯尼影片公司;Roth Films ;,罗伯特·斯托姆伯格;,,动作/冒险/奇幻
16/5/2014,324.66,城市游戏,城市游戏,释小龙;周韦彤;陈妍希;窦骁;金俊浩;,,香港寰亚电影有限公司;,鲍勃·布朗;张鹏;,,动作/惊悚
30/4/2015,20338.58,赤道,赤道,王学圻;顾美华;张家辉;张学友;余文乐;张震;池珍熙;崔始源;尹贞伊;冯文娟;文咏珊;,寰亚电影发行（北京）有限公司;五洲电影发行有限公司;万达影业（青岛）有限公司;万达影视传媒有限公司;,香港银都机构有限公司;香港寰亚电影有限公司;阿里巴巴（杭州）文化创意有限公司;太阳娱乐文化有限公司;蓝海娱乐制作有限公司;寰亚电影发行（北京）有限公司;广州长长影视文化有限公司;万达影视传媒有限公司;,梁乐民;陆剑青;,,动作/犯罪
9/7/2013,1264.88,赤警威龙,赤警威龙,姜成镐;阿德沃尔·阿吉纽依-艾格拜吉;杰森·莫玛;莎拉·沙黑;布莱恩·范·霍尔特;维罗妮卡·罗萨蒂;丹娜·米歇尔·格瑞尔;安德鲁·伯兰德;戴恩·罗兹;古斯塔沃·奥尔蒂斯;斯蒂芬·里瓦戴斯;米歇尔·托雷斯;乔丹·萨杜斯;约翰尼·奥托;约翰·阿米乔;埃尔文·吉田;格伦·沃纳;霍特·麦克卡兰尼;萨拉·沙希;马库斯·里尔·布朗;西尔维斯特·史泰龙;乔恩·塞达;克里斯汀·史莱特;安德里亚·弗兰克;,E Stars Films ;Pinema ;Roadshow Films ;,,沃尔特·希尔;,,动作/犯罪
15/11/2013,5471.09,赤焰战场2,赤焰战场2,安东尼·霍普金斯;海伦·米伦;李秉宪;布鲁斯·威利斯;提图斯·维里沃;焦阿基诺·吉姆·库..;大卫·休里斯;约翰·马尔科维奇;玛丽·露易斯·帕克;凯瑟琳·泽塔-琼斯;尼尔·麦克唐纳;丹尼斯·科洛斯克;李·阿斯奎斯-科;加里克·哈根;汉娜·布拉米雷斯;米切尔·马伦;,,顶峰娱乐公司;,迪恩·派瑞萨特;,,动作/喜剧/犯罪/惊悚
3/4/2015,2073.61,冲锋车,冲锋车,高捷;庄洁梦;任达华;吴镇宇;邵音音;谭耀文;郑浩南;麦兆辉;庄文强;古巨基;纪焕博;胡耀辉;思漩;张豫玥;姜皓文;罗永昌;,北京聚合影联文化传媒有限公司;英皇电影发行（北京）有限公司;大地时代电影发行（北京）有限公司;,香港银都机构有限公司;英皇电影有限公司;华策影业（天津）有限公司;爱奇艺影业（北京）有限公司;,刘浩良;,,动作/犯罪
24/5/2013,22.18,冲锋号,冲锋号,,,西安曲江宏梦卡通影视文化传播有限公司;湖南蓝猫动漫传媒有限公司;,贺梦凡;,,动画
1/11/2013,488.9,冲锋战警,冲锋战警,林雪;牛萌萌;王紫逸;任达华;卢惠光;李璨琛;邵美琪;卢海鹏;李曼筠;陈静仪;王思雅;张兆辉;,星光联盟文化发展（北京）有限公司;,星光联盟文化发展（北京）有限公司;北京溢通导明文化传播有限公司;影视点制作有限公司;,罗守耀;,,动作/犯罪
19/2/2015,15226.89,冲上云霄,冲上云霄,廖京生;朱璇;刘俊孝;吴镇宇;古天乐;佘诗曼;马国明;江美仪;恭硕良;张智霖;郑秀文;马鑫;郭采洁;,北京光线影业有限公司;寰亚电影发行（北京）有限公司;,香港寰亚电影有限公司;邵氏兄弟（香港）有限公司;中影寰亚音像制品有限公司;北京光线影业有限公司;寰亚电影发行（北京）有限公司;天下一电影制作有限公司;邵氏影城香港有限公司;,邹凯光;叶伟信;,,爱情
2/7/2016,423.34,丑小鸭历险记,丑小鸭历险记,小鱼;夏倚轩;妮妮;翰翰;阿飞;亦伦;皓为;木偶;永者;瑞奇;呱呱;,北京基点影视文化传媒有限公司;,广州塔秀动漫科技有限公司;广州金域投资有限公司;,郑义;张常青;谷立红;,郑义;滕建辉;王毅;王剑;冯永辉;刘统金;邓子瑜;贺双;,动画
4/7/2013,207.01,初恋未满,初恋未满,倪大红;宋晓英;王劲松;潘婕;张含韵;张政;代旭;李现;吴昱瑶;冉旭;王砚辉;,安乐（北京）电影发行有限公司;北京德俊文化发展有限公司;,北京德俊文化发展有限公司;东阳秋水堂影视有限公司;,刘娟;,,爱情/青春
29/3/2013,22627.91,厨子戏子痞子,厨子戏子痞子,刘烨;黄渤;张涵予;王迅;梁静;田中千绘;木幡龙;,,北京光线影业有限公司;北京春天融和影视文化有限责任公司;黄渤工作室;第五乐章文化传媒有限公司;北京第七印象影视传媒有限责任公司;北京星美千易文化经纪有限公司;南京文秀影视文化工作室;海宁谦谦影业有限公司;,管虎;,,喜剧/战争/动作
19/9/2014,7396.18,触不可及,触不可及,奚美娟;黄磊;徐静蕾;孙红雷;蒋勤勤;蔡少芬;桂纶镁;方中信;,上海电影（集团）有限公司;北京完美影视传媒股份有限公司;五洲电影发行有限公司;,上海电影（集团）有限公司;,赵宝刚;,,爱情/悬疑
13/9/2013,1676.59,穿越火线,,,,,,,
22/8/2014,1406.14,床下有人2,床下有人2,殷果儿;李卓远;孙心娅;李鹤楠;,浙江东阳四月天影视文化有限公司;,浙江东阳四月天影视文化有限公司;北京东方歌典文化传播有限公司;山西求索文化传播有限公司;,袁杰;,,惊悚
11/3/2016,903.16,床下有人3,床下有人3,殷果儿;刘力源;苗青;姜文轩;宋伟;,浙江东阳四月天影视文化有限公司;,浙江东阳四月天影视文化有限公司;北京东方歌典文化传播有限公司;北京菲尔幕文化传媒有限公司;北京龙乐东方影视文化传媒有限公司;北京随缘文化发展有限公司;南京蝶蕴文化传媒有限公司;山西菲尔幕文化传媒有限公司;北京银狮影业文化传媒有限公司;,尚永峰;,,惊悚/恐怖/悬疑
30/4/2015,927.23,闯入者,闯入者,秦海璐;冯远征;吕中;黄素影;秦昊;石榴;,华夏电影发行有限责任公司;,北京冬春文化传播有限公司;安乐（北京）电影发行有限公司;重庆电影集团有限公司;上海银润传媒广告有限公司;引力影视投资有限公司;北京和润德堂文化传媒股份有限公司;,王小帅;,,剧情/犯罪
1/1/2015,1967.74,闯堂兔2疯狂马戏团,闯堂兔2疯狂马戏团,,江苏幸福蓝海院线有限责任公司;四川省太平洋电影院线有限公司;湖北银兴院线影业有限责任公司;重庆保利万和院线;武汉天河影业有限公司;浙江星光电影院线有限公司;辽宁中影北方电影院线有限责任公司;北京时代华夏今典院线;北京世茂电影院线有限公司;,武汉玛雅动漫有限公司;北京锋尚锐志文化传媒有限公司;上海全土豆网络科技有限公司;峨眉电影集团有限公司;,曾宪林;,,动画/喜剧/冒险/儿童
8/8/2014,18.38,纯纯欲动,纯纯欲动,张磊;袁乙心;常诚;曹楠;徐嘉苇;苗苗;,青岛市电影发行放映公司;青岛海洋传奇影视制作有限公司;,青岛凤凰世纪传媒有限公司;青岛市电影发行放映公司;北京龙火映画文化传播有限公司;北京齐鲁兄弟影视制作有限公司;,王丹;,,爱情/喜剧
16/8/2013,32.78,唇唇欲动,唇唇欲动,华少;李媛;陈一娜;刘雪涛;敬子辰;,,北京世纪华文文化传播有限公司;山东传奇文化产业有限公司;滨州传奇文化产业有限公司;,苏伦;,,喜剧/青春
26/12/2013,10.64,刺客,刺客,陈观泰;姜超;周依晨;梁家仁;午马;吴镇宇;陈勋奇;董志华;谢沅江;,,映代码（北京）文化传媒有限公司;北京文睿众合文化传媒有限公司;神画制作有限公司;,苗述;,,动作/古装
27/8/2015,5973.12,刺客聂隐娘,刺客聂隐娘,倪大红;咏梅;周韵;毕安生;舒淇;张震;雷镇语;谢欣颖;阮经天;许芳宜;妻夫木聪;,华夏电影发行有限责任公司;北京博纳影视文化交流有限公司;华策影业（天津）有限公司;北京百度糯米信息技术有限公司;银都机构（广州）影视文化有限公司;,香港银都机构有限公司;香港寰亚电影有限公司;华策影业（天津）有限公司;中国梦电影文化产业有限公司;光点影业股份有限公司;,侯孝贤;,,动作/武侠/古装
22/7/2016,819.63,刺猬小子之天生我刺,刺猬小子之天生我刺,,北京聚合影联文化传媒有限公司;,北京摩天轮文化传媒有限公司;北京每日视界先锋数码图像制作有限公司;北京每日视界影视动画股份有限公司;北京文化—摩天轮文化传媒;,黄健明;,丁晟;杜扬;,动画/儿童/冒险
22/7/2016,818.74,刺猬小子之天生我刺,刺猬小子之天生我刺,,北京聚合影联文化传媒有限公司;,北京摩天轮文化传媒有限公司;北京每日视界先锋数码图像制作有限公司;北京每日视界影视动画股份有限公司;北京文化—摩天轮文化传媒;,黄健明;,丁晟;杜扬;,动画/儿童/冒险
19/4/2013,69.69,刺夜,刺夜,吴卫东;蒲巴甲;杜奕衡;王子子;何杜鹃;,华夏电影发行有限责任公司;大地时代电影发行（北京）有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心;安徽电影集团（安徽电影制片厂）;安徽五星东方影视投资有限公司;,彭际航;任鹏远;,,动作/悬疑
5/12/2014,50078.6,匆匆那年,匆匆那年,陈赫;刘雅瑟;倪妮;魏晨;张子萱;毕夏;彭于晏;郑恺;,北京小马奔腾文化传媒股份有限公司;北京光线影业有限公司;引力影视投资有限公司;,合一影业有限公司;北京小马奔腾文化传媒股份有限公司;北京光线影业有限公司;北京果然影视文化有限公司;引力影视投资有限公司;北京凤凰联动影视文化传播有限公司;上海汉涛信息咨询有限公司;,张一白;时尧;,,爱情/青春
30/4/2014,711.14,聪明的一休之反斗公主,聪明的一休之反斗公主,李正翔;张欣;刘彬;王晓燕;罗玉娟;刘北辰;王晓彤;,珠江影业传媒股份有限公司;,上海炫动传播股份有限公司;东映动画有限公司;上海尚世影业有限公司;,雷建成;吴建中;,,动画
4/12/2015,5616.69,从天“儿”降,从天“儿”降,章子怡;李小璐;于小伟;释延能;张瑶;陈学冬;张艺兴;陈楚生;胡彦斌;秦舒培;瑶淼;巴图;姜雯;,北京星光灿烂影视文化有限公司;五洲电影发行有限公司;,乐视影业（北京）有限公司;北京星光灿烂影视文化有限公司;北京麦特文化发展有限公司;青年电影制片厂;北京追踪者文化传媒有限公司;,魏民;魏楠;,,喜剧/爱情/科幻
21/8/2014,1881.49,丛林之王,,,,,,,
29/4/2014,21077.65,催眠大师,催眠大师,徐峥;吕中;胡静;尹航;莫文蔚;王耀庆;,上海电影（集团）有限公司;华夏电影发行有限责任公司;广东金逸珠江电影院线有限公司;江苏幸福蓝海院线有限责任公司;大地时代电影发行（北京）有限公司;浙江横店电影院线有限公司;万达影视传媒有限公司;,万达影视传媒有限公司;,陈正道;郑剑锋;,,惊悚/悬疑/心理
29/7/2016,231.91,催命符,催命符,于朦胧;刘柏南;李耀景;姜怡伊;陈伟栋;王岗;郑强;卢蒽洁;,北京嘉合映画影视文化传媒有限公司;,北京锦心鼎力文化传媒有限公司;北京嘉合映画影视文化传媒有限公司;贵州铜仁市文体广电新闻出版局;贵州铜仁市万山区人民政府;松桃九龙民族文化旅游开发有限公司;,周晓鹏;,,惊悚/悬疑
19/7/2013,8.84,达人也疯狂,达人也疯狂,张丽;李丹;杨智勇;孙冬;王东林;,河南奥斯卡院线有限责任公司;,开封群星闪耀文化传媒有限公司;,曹利民;,,喜剧
