date,box,name_meta,moviename,stars,faxing,zhizuo,daoyan,zhizuor,theme
21/10/2014,57,打工老板,打工老板,姚安濂;汤嬿;黄精一;赵炬;石荣;,,深圳市华浩文化传媒有限公司;,张唯;,,剧情
1/9/2015,17.1,大变局之梦回甲午,大变局之梦回甲午,吴云飞;韩一菲;冯兵;赵育莹;,北京金亿乾坤影视文化传媒有限公司;,中国人民解放军总后勤部政治部;天盛润铎影视制作（北京）有限公司;辽宁天悦影视传媒有限公司;中航工业集团公司;中共威海市宣传部;,刘全玮;,,战争/爱情/古装
5/9/2014,43.15,大峰祖师,大峰祖师,许还山;蒋恺;俞灏明;吕晶;隋咏良;安贞京;,珠江影业传媒股份有限公司;,广州金生江水文化传播公司;中国国际文化艺术中心;,张蠡;,,惊悚/悬疑/古装
17/1/2014,108.1,大寒桃花开,大寒桃花开,冯绍峰;,北京唐德灿烂影视文化有限公司;,上海鹏锦影视文化有限公司;,许安;,,爱情/古装
2/2/2014,2813.02,大话天仙,大话天仙,方力申;郭德纲;孙俪;郑伊健;蔡少芬;郑中基;邓健泓;张智霖;陈意涵;胡歌;,,中国电影合作制片公司;北京诚信联盟国际影视文化有限公司;,刘镇伟;,,喜剧/古装
14/9/2016,35145.2,大话西游3,大话西游3,吴京;唐嫣;韩庚;谢楠;莫文蔚;钟欣潼;张超;张瑶;王一博;,华夏电影发行有限责任公司;北京环鹰时代文化传媒有限公司;天津银河文化传媒有限公司;北京卓然影业有限公司;霍尔果斯春秋时代文化传媒有限公司;,北京春秋时代文化有限公司;福建恒业影业有限公司;武汉传奇人影视艺术有限公司;乐华娱乐;北京微影时代科技有限公司;星光联盟影业（北京）有限公司;天津银河文化传媒有限公司;云南广电传媒集团有限公司;春秋时代（天津）影业有限公司;春秋时代（霍尔果斯）影业有限公司;北京卓然影业有限公司;乐华娱乐（中国）;霍尔果斯春秋时代文化传媒有限公司;霍尔果斯登峰国际文化传播有限公司;春秋时代影业;云南广电传媒集团;云南金彩视界影业有限公司;,刘镇伟;,吴京;吕建民;杜华;郝社永;杨于明;徐立言;林宁;沈京喜;陈辉;张进;陈亮;扬子苇;麦子善;周璞;龚妮娜;吴一峰;吕可;冉启辉;吴静娴;冯郇;刘雯;,
27/6/2016,679.72,大火种,大火种,张梦迪;沈浩;白威;陈瑾;孙敏;李超;,华夏电影发行有限责任公司;,华夏电影发行有限责任公司;北京海盛文化发展有限公司;,苗月;,,剧情/主旋律/怀旧
11/4/2014,2511.71,大力神3D,大力神3D,凯南·鲁兹;盖娅·威斯;连姆·麦肯泰尔;玛丽亚·盖尔;卢克·纽贝里;罗姗妮·麦琪;斯科特·阿金斯;拉德·舍博德兹加;肯尼斯·克兰哈姆;乔纳森·斯卡奇;,华夏电影发行有限责任公司;,千年影业;,雷尼·哈林;,,动作/冒险
25/10/2013,442.05,大明劫,大明劫,冯远征;马精武;胡晓光;余少群;冯波;杨旸;戴立忍;钱学格;司源;孙强;,星美(北京)影业有限公司;中视云投文化产业投资有限公司;泰州众道影视文化发展有限公司;江苏众道影业投资有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心;江苏众道影业投资有限公司;中央新闻纪录电影制片厂;,王竞;,,战争/古装
18/7/2013,11042.96,大明猩,大明猩,徐娇;小田切让;郑仁基;金应洙;金康宇;安昭熙;李俊赫;金廷恩;金熙元;金正泰;边熙奉;金兴来;成东日;,华谊兄弟传媒股份有限公司;,华谊兄弟传媒股份有限公司;Dexter Film ;,金容华;,,喜剧/运动
11/6/2013,342.33,大片,大片,谢园;刘芸;游本昌;王宁;董立范;于谦;向飞;吴孟达;句号;边辉;向能;,,北京必然秀文化传媒有限公司;,向飞;,,喜剧
11/1/2013,459.87,大叔，我爱你,大叔，我爱你,付梦妮;张咏荷;董文军;翁虹;张智霖;孙斌;郭美孜;,上海华宇电影股份有限公司;,上海华宇电影股份有限公司;湖北省电影发行放映总公司;一九零五（北京）网络科技有限公司;上海大锂文化传播有限公司;上海平台投资有限公司;上海紫竹文化传媒有限公司;,胡崇曦;,,爱情/喜剧
29/4/2016,3203.86,大唐玄奘,大唐玄奘,黄晓明;徐峥;姜超;连凯;汤镇业;锦荣;蒲巴甲;曹操;马坦娜·卡利米;桑贤福;高兴;黄德毅;周禹桐;刘蔚森;王惠春;楼佳悦;方征;索努·苏德;罗晋;谭凯;车晓;赵文瑄;赵亮;,中国电影股份有限公司北京电影发行分公司;中国电影集团公司;,国家新闻出版广电总局电影卫星频道节目制作中心;华策影业（天津）有限公司;北京环球浩翔影视文化传媒有限公司;北京歌华有线电视网络股份有限公司;浙江唐德影视股份有限公司;中影股份北京电影发行分公司;北京心海迦源文化交流中心出品;电影频道节目制作中心;北京歌华有限电视网络股份有限公司;中投中财基金管理有限公司;爱若思国际传媒有限公司;天津孔雀山文化传媒有限公司联合出品;北京心海迦源文化交流中心;天津孔雀山文化传媒有限公司;中国电影集团公司;,霍建起;,王家卫;,剧情
5/3/2015,751.77,大喜临门,大喜临门,李东学;林美秀;九孔;林心如;寇世勋;林美照;素珠;陈慕义;王彩桦;猪哥亮;,华谊兄弟传媒股份有限公司;,华谊兄弟传媒股份有限公司;十美娱乐传媒（北京）股份有限公司;十全十美娱乐传媒有限公司;十全媒体娱乐营销股份有限公司;,黄朝亮;,,喜剧
28/4/2013,71.47,大野狼和小绵羊的爱情,大野狼和小绵羊的爱情,张伟雄;蔡振南;曾佩瑜;郭书瑶;张书豪;林庆台;聂云;谢欣颖;柯震东;陆廷威;简蔓书;,福建恒业影业有限公司;,原子映象有限公司;时光草莓电影有限公司;中环国际娱乐股份有限公司;贩卖基电影事业有限公司;,侯季然;,,爱情/喜剧/浪漫
8/7/2016,51042.92,大鱼海棠,大鱼海棠,张杰;张媛媛;杨婷;苏尚卿;马正阳;刘校妤;九儿;潘淑兰;薛立方;季冠霖;许魏洲;金士杰;王德顺;姜广涛;宝木中阳;,北京光线影业有限公司;北京光线传媒股份有限公司;,北京光线影业有限公司;北京光线传媒股份有限公司;霍尔果斯彩条屋影业有限公司;彼岸天（北京）文化有限公司;,梁旋;张春;,cui beibei;chen lizhi;mark byers;张春;王长田;李晓萍;,动画/奇幻
