Moviename,month,weight
魔镜,9,0.09156828525468516
魔镜奇缘,9,0.09156828525468516
魔轮,7,0.1285874696349652
魔轮,7,0.1285874696349652
魔兽,6,0.0994807927657334
末日崩塌,6,0.0994807927657334
末日浩劫,12,0.08869781338527857
末日迷踪,2,0.11816418032921183
陌路惊笑,4,0.0919951917211108
默守那份情,7,0.1285874696349652
谋杀似水年华,2,0.11816418032921183
母亲的梦想,3,0.06869869288535177
木星上行,3,0.06869869288535177
目标战,10,0.03635877373643945
墓穴迷城,9,0.09156828525468516
哪一天我们会飞,3,0.06869869288535177
那件疯狂的小事叫爱情,8,0.08684763728338371
男人不可以穷,12,0.08869781338527857
男人制造,7,0.1285874696349652
男神抱抱,5,0.057518920082634255
男神时代,9,0.09156828525468516
南口1937,6,0.0994807927657334
你是不是我的爱人,3,0.06869869288535177
逆光飞翔,6,0.0994807927657334
逆世界,3,0.06869869288535177
逆袭,9,0.09156828525468516
年兽大作战,2,0.11816418032921183
念念,4,0.0919951917211108
柠檬,4,0.0919951917211108
牛胆神偷,8,0.08684763728338371
纽约纽约,4,0.0919951917211108
怒放之青春再见,1,0.08189636323052459
虐面人之死灵面膜,6,0.0994807927657334
诺亚方舟漂流记,8,0.08684763728338371
女汉子真爱公式,3,0.06869869288535177
女汉子真爱公式,3,0.06869869288535177
女神跟我走,5,0.057518920082634255
女生宿舍,9,0.09156828525468516
女蛹,2,0.11816418032921183
帕丁顿熊,3,0.06869869288535177
判我有罪,5,0.057518920082634255
庞贝末日,8,0.08684763728338371
泡沫之夏,7,0.1285874696349652
泡沫之夏,7,0.1285874696349652
陪安东尼度过漫长岁月,11,0.05018587969068192
怦然星动,12,0.08869781338527857
痞子英雄：黎明升起,10,0.03635877373643945
飘落的羽毛,11,0.05018587969068192
破风,8,0.08684763728338371
破坏者,4,0.0919951917211108
破局,7,0.1285874696349652
扑通扑通我的人生,3,0.06869869288535177
七月半2：前世今生,8,0.08684763728338371
七月半之恐怖宿舍,8,0.08684763728338371
七月与安生,9,0.09156828525468516
奇幻森林,4,0.0919951917211108
启功,9,0.09156828525468516
汽车人总动员,7,0.1285874696349652
千锤百炼,12,0.08869781338527857
前目的地,1,0.08189636323052459
前任2：备胎反击战,11,0.05018587969068192
前任攻略,1,0.08189636323052459
潜龙风云,11,0.05018587969068192
潜艇总动员3 - 彩虹宝藏,5,0.057518920082634255
潜艇总动员4：章鱼奇遇记,5,0.057518920082634255
潜艇总动员之时光宝盒,5,0.057518920082634255
枪过境,4,0.0919951917211108
抢劫坚果店,12,0.08869781338527857
乔布斯,9,0.09156828525468516
侨女日记,5,0.057518920082634255
窃听风云3,5,0.057518920082634255
亲，别怕鬼宅凶灵,7,0.1285874696349652
亲爱,5,0.057518920082634255
亲爱的,9,0.09156828525468516
秦时明月3D电影龙腾万里,8,0.08684763728338371
青春雷锋,3,0.06869869288535177
青春派,8,0.08684763728338371
青春时光,11,0.05018587969068192
青蛙王国,12,0.08869781338527857
青蛙王国之冰冻大冒险,2,0.11816418032921183
青蛙总动员,4,0.0919951917211108
倾城,5,0.057518920082634255
情敌蜜月,9,0.09156828525468516
情笛之爱,6,0.0994807927657334
情缘廊桥,8,0.08684763728338371
请把你的窗户打开,1,0.08189636323052459
穷途,9,0.09156828525468516
求爱大作战,11,0.05018587969068192
求爱嫁期,5,0.057518920082634255
全城高考,2,0.11816418032921183
全城通缉,11,0.05018587969068192
全民目击,9,0.09156828525468516
全能囧爸,3,0.06869869288535177
拳霸风云,6,0.0994807927657334
让爱绽放,3,0.06869869288535177
让熊猫飞,6,0.0994807927657334
热血男人帮,1,0.08189636323052459
人间&middot;小团圆,5,0.057518920082634255
人间蒸发,4,0.0919951917211108
人皮拼图,9,0.09156828525468516
忍者神龟：变种时代,10,0.03635877373643945
忍者神龟2：破影而出,7,0.1285874696349652
撒娇女人最好命,11,0.05018587969068192
萨米大冒险2,6,0.0994807927657334
赛尔号4大电影：圣魔之战,7,0.1285874696349652
赛尔号5：雷神崛起,7,0.1285874696349652
赛尔号大电影3之战神联盟,7,0.1285874696349652
三城记,8,0.08684763728338371
三更车库,4,0.0919951917211108
三人行,6,0.0994807927657334
三小强,4,0.0919951917211108
三月情流感,3,0.06869869288535177
三只小猪与神灯,6,0.0994807927657334
伞头和他的女人,1,0.08189636323052459
扫毒,11,0.05018587969068192
森林战士,11,0.05018587969068192
杀戒,6,0.0994807927657334
杀破狼2,6,0.0994807927657334
鲨滩,9,0.09156828525468516
山河故人,10,0.03635877373643945
山花烂漫时,6,0.0994807927657334
闪魂,2,0.11816418032921183
赏金猎人,7,0.1285874696349652
少年班,6,0.0994807927657334
少年毛泽东,4,0.0919951917211108
少年师爷之大禹宝藏,7,0.1285874696349652
少女灵异日记,11,0.05018587969068192
少女哪吒,7,0.1285874696349652
舌尖上的新年,1,0.08189636323052459
深海挑战,2,0.11816418032921183
深情约定,10,0.03635877373643945
深夜前的五分钟,10,0.03635877373643945
神笔马良,7,0.1285874696349652
神剑传奇,10,0.03635877373643945
神秘世界历险记2,8,0.08684763728338371
神秘世界历险记3,7,0.1285874696349652
神奇,9,0.09156828525468516
神兽金刚之青龙再现,9,0.09156828525468516
神探驾到,2,0.11816418032921183
神探夏洛克,1,0.08189636323052459
神偷奶爸2,1,0.08189636323052459
神战：权力之眼,3,0.06869869288535177
生化危机5：惩罚,3,0.06869869288535177
圣杯神器：骸骨之城,1,0.08189636323052459
圣诞大赢家,12,0.08869781338527857
圣诞玫瑰,5,0.057518920082634255
圣龙奇兵大冒险,6,0.0994807927657334
剩者为王,11,0.05018587969068192
失孤,3,0.06869869288535177
失眠男女,4,0.0919951917211108
师父,12,0.08869781338527857
十二公民,5,0.057518920082634255
十万个冷笑话,12,0.08869781338527857
十万伙急,4,0.0919951917211108
十月初五的月光,11,0.05018587969068192
石榴树上结樱桃,4,0.0919951917211108
石器时代之百万大侦探,4,0.0919951917211108
时光大战,1,0.08189636323052459
时光恋人,9,0.09156828525468516
时间都去哪了,8,0.08684763728338371
史努比：花生大电影,11,0.05018587969068192
史前怪兽,12,0.08869781338527857
使徒行者,8,0.08684763728338371
守梦者,7,0.1285874696349652
鼠来宝4：萌在囧途,1,0.08189636323052459
双生灵,8,0.08684763728338371
双雄,12,0.08869781338527857
谁的青春不迷茫,4,0.0919951917211108
谁动了我的梦想,12,0.08869781338527857
谁说我们不会爱,2,0.11816418032921183
谁偷了我的菜,4,0.0919951917211108
水果宝贝之水果总动员,6,0.0994807927657334
睡在我上铺的兄弟,4,0.0919951917211108
顺风车,6,0.0994807927657334
私奔B计划,10,0.03635877373643945
私人订制,12,0.08869781338527857
斯大林格勒,10,0.03635877373643945
死亡笔记,5,0.057518920082634255
死亡派对,9,0.09156828525468516
死亡邮件,6,0.0994807927657334
死亡游戏,6,0.0994807927657334
死亡之谜之双鱼玉佩,2,0.11816418032921183
四大名捕2,12,0.08869781338527857
四大名捕大结局,8,0.08684763728338371
速度与激情6,7,0.1285874696349652
速度与激情7,4,0.0919951917211108
所以……和黑粉结婚了,6,0.0994807927657334
索命暹罗之按摩师,12,0.08869781338527857
他是龙,8,0.08684763728338371
踏雪寻梅,5,0.057518920082634255
太极侠,7,0.1285874696349652
太空熊猫历险记,12,0.08869781338527857
太空熊猫英雄归来,4,0.0919951917211108
太空熊猫总动员,5,0.057518920082634255
太平轮（上）,12,0.08869781338527857
太平轮：彼岸,7,0.1285874696349652
泰迪熊之玩具大战,6,0.0994807927657334
泰山归来：险战丛林,7,0.1285874696349652
探秘者,12,0.08869781338527857
唐人街探案,12,0.08869781338527857
唐人街探案,12,0.08869781338527857
糖果世界大冒险,5,0.057518920082634255
逃出生天3D,9,0.09156828525468516
特工艾米拉,4,0.0919951917211108
特功明星,4,0.0919951917211108
特警判官,3,0.06869869288535177
特殊身份,10,0.03635877373643945
特种部队：全面反击,4,0.0919951917211108
提款机,6,0.0994807927657334
天边的孩子,5,0.057518920082634255
天才眼镜狗,3,0.06869869288535177
天河,11,0.05018587969068192
天机&middot;富春山居图,6,0.0994807927657334
天将雄师,2,0.11816418032921183
天亮&middot;分手,5,0.057518920082634255
天亮;分手,5,0.057518920082634255
天亮分手,5,0.057518920082634255
天亮之前,7,0.1285874696349652
天使：生命处方,3,0.06869869288535177
天台爱情,7,0.1285874696349652
甜蜜杀机,3,0.06869869288535177
甜蜜十八岁,4,0.0919951917211108
甜心巧克力,11,0.05018587969068192
挑战者联盟,9,0.09156828525468516
铁娘子：坚固柔情,3,0.06869869288535177
铁拳,9,0.09156828525468516
铁血娇娃,11,0.05018587969068192
听见下雨的声音,12,0.08869781338527857
听说,6,0.0994807927657334
通灵神探,1,0.08189636323052459
通灵之六世古宅,7,0.1285874696349652
同城邂逅,3,0.06869869288535177
同谋,4,0.0919951917211108
同桌的妳,4,0.0919951917211108
头脑特工队,10,0.03635877373643945
屠魔战士,5,0.057518920082634255
土豪520,5,0.057518920082634255
兔侠之青黎传说,2,0.11816418032921183
团圆,9,0.09156828525468516
推拿,11,0.05018587969068192
托马斯和朋友们多多岛之迷失宝藏,2,0.11816418032921183
脱轨时代,3,0.06869869288535177
完美超越,1,0.08189636323052459
完美假妻168,3,0.06869869288535177
玩命剧组,9,0.09156828525468516
玩命时光,12,0.08869781338527857
玩命速递：重启之战,11,0.05018587969068192
万万没想到,12,0.08869781338527857
万物生长,4,0.0919951917211108
亡命地中海,1,0.08189636323052459
王朝的女人&middot;杨贵妃,7,0.1285874696349652
王朝的女人;杨贵妃,7,0.1285874696349652
王朝的女人杨贵妃,7,0.1285874696349652
王牌,12,0.08869781338527857
