爱情/家庭,92.4,92.280000,2014/2/28,一个温州的女人,2014/3/7,一个温州的女人,一个温州的女人,马跃;张洪杰;石兰;朱玉雯;刘小微;张文;马翎雁;,蘭发行团队;四川卢米埃影业;温州雁荡电影院线有限公司;,北京银幕地带文化有限公司;,海达;,
战争/灾难/历史,37113.6,37068.490000,2012/12/31,一九四二,2012/11/29,一九四二,一九四二,张国立;于震;冯远征;徐帆;刘莉莉;吕中;杜淳;杨立新;陈道明;范伟;张少华;乔振宇;张涵予;柯蓝;李倩;王子文;李易祥;张国强;张默;段奕宏;田小洁;张志坚;赵屹;张晨光;苏有朋;阿德里安·布洛迪;蒂姆·罗宾斯;罗洋;羊立新;张嘉译;李雪健;,华谊兄弟传媒股份有限公司;,香港银都机构有限公司;香港寰亚电影有限公司;华谊兄弟传媒股份有限公司;英皇电影有限公司;华谊兄弟国际有限公司;湖南广播电视台;安徽广播电视台;重庆电影集团有限公司;一壹影视文化投资基金;北京电视台;上海尚世影业有限公司;,冯小刚;,
动作/传记,28924.1,28783.860000,2013/1/6,一代宗师,2013/1/8,一代宗师,一代宗师,徐锦江;罗莽;赵本山;王庆祥;章子怡;小沈阳;张晋;吴云飞;周小飞;叶苑馨;袁和平;梁朝伟;梁小龙;卢海鹏;吴廷烨;张震;张智霖;宋慧乔;刘洵;尚铁龙;王珏;吉飞龙;黎烈弓;宋岱;刘家勇;,华夏电影发行有限责任公司;银都电影发行有限公司;广东雅信文化传播有限公司;,香港银都机构有限公司;美亚娱乐资讯集团有限公司;泽东电影公司;华夏电影发行有限责任公司;一壹影视文化投资基金;盛唐时代文化传播有限公司;广东雅信文化传播有限公司;时代华娱影视传媒投资有限责任公司;蓝色光标传播集团;,王家卫;,
动作/传记,6289.8,6289.850000,2015/1/8,一代宗师3D,2015/1/8,一代宗师3D,一代宗师3D,徐锦江;罗莽;赵本山;王庆祥;章子怡;小沈阳;张晋;周小飞;袁和平;袁祥仁;梁朝伟;卢海鹏;吴廷烨;陈美诗;张震;金士杰;张智霖;宋慧乔;刘洵;江道海;萧炳林;黎烈弓;,华夏电影发行有限责任公司;,上海电影（集团）有限公司;香港银都机构有限公司;国家新闻出版广电总局电影卫星频道节目制作中心;泽东电影公司;华夏电影发行有限责任公司;美亚电影制作有限公司;一壹国际影视文化传媒（北京）有限公司;广东雅信文化传播有限公司;时代华娱影视传媒投资有限责任公司;西安银都电影发行有限公司;北京市广播电影电视局;北京盛唐时代文化传播有限公司;北京蓝色光标品牌管理顾问股份有限公司;,王家卫;,
,,,,,,,一八九四·甲午大海战,陆毅;孙海英;吕丽萍;杨立新;夏雨;郭家铭;马光泽;扎西顿珠;鄂布斯;高军;龚洁;,,国家新闻出版广电总局电影卫星频道节目制作中心;时代出版传媒股份有限公司;,冯小宁;,
喜剧,2623.7,2623.060000,2015/12/24,一切都好,2016/1/1,一切都好,一切都好,张国立;贾樟柯;范伟;张一白;姚晨;张歆艺;张译;王千源;陈赫;周冬雨;叶一云;邬君梅;窦骁;,天津联瑞影业有限公司;北京金盛信马影视文化有限公司;,安乐（北京）电影发行有限公司;北京微影时代科技有限公司;天津联瑞影业有限公司;天津突燃文化传媒有限公司;北京金盛信马影视文化有限公司;北京华谊兄弟创星娱乐科技股份有限公司;大河影业扬州有限公司;天津天马映像影业有限公司;海南金盛信马影视文化有限公司;上海乐不思蜀影视有限公司;中国电影股份有限公司;幸福蓝海影视文化集团股份有限公司;,张猛;,
爱情,11.7,8.410000,2015/11/22,一刻十年,2015/11/24,一刻十年,一刻十年,于朦胧;顾靖;谢彬彬;李政宇;李梧楠;冯璧晴;马颖杰;张洋;,春秋永乐影视文化投资（北京）有限公司;上海仁惠文化传播有限公司;,上海仁惠文化传播有限公司;华美星光文化艺术（北京）有限公司;,戎川;,
动作/悬疑/剧情,205,204.910000,2014/3/21,一号目标,2014/5/23,一号目标,一号目标,刘小锋;蒋勤勤;果静林;孙茜;张瑶;翟万臣;刘欢;薛山;张晨光;孙维民;黄薇;,上海鼎石影视制作有限公司;江苏东方影视文化传播有限公司;,江苏幸福蓝海影业有限责任公司;南京市文化投资控股（集团）有限责任公司;南京毅刚文化传媒有限公司;南京启联科技有限公司;中共南京市委宣传部;江苏省文学艺术界联合会;南京加一点净化保健科技有限公司;江苏省广播电影电视局;,翟俊杰;翟小兴;,
爱情/动作/警匪,2276.3,2275.030000,2013/8/6,一场风花雪月的事,2013/8/8,一场风花雪月的事,一场风花雪月的事,黄晓明;巍子;杨颖;苏青;在熙;,上海银润传媒广告有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心;联能传媒有限公司;烟台市广播电视台;上海银润传媒广告有限公司;广州星慕文化发展机构;青岛锦绣前程房地产开发有限公司;北京泰耀文化工作室;,高群书;,
爱情/喜剧,6.9,7.100000,2016/3/26,一夜危机,2016/3/25,一夜危机,一夜危机,陈观泰;姜超;刘永健;萧浩冉;夏云飞;刘玉婷;徐熙遥;,神画制作有限公司;焦作晶彩电影制作有限公司;吉林映代码电影制作有限公司;,北京夏云飞国际影视文化有限公司;映代码（北京）文化传媒有限公司;南天艺合(北京)文化传播有限公司;,苗述;,
爱情/喜剧,17250.5,17253.350000,2013/7/31,一夜惊喜,2013/8/9,一夜惊喜,一夜惊喜,黎明;范冰冰;徐峥;倪虹洁;蒋劲夫;刘维;赵铭;张歆莹;黄一飞;吴佩慈;李治廷;丹尼尔·海尼;彭杨;,寰亚电影发行（北京）有限公司;北京联瑞影业有限公司;,香港寰亚电影有限公司;华夏视听环球传媒（北京）有限公司;萌影画（北京）文化传播有限公司;,金依萌;,
,,144.900000,2013/1/8,一夜成名,,,一夜成名,刘桦;田娃;王思懿;维塔斯;苏珊·鲍尔;卡门·玛索拉;董美祎;黄圣依;,龙腾艺都（北京）影业投资有限公司;,金润集团;北京龙子鉴影视文化有限公司;,石磊;,
,,,,,,,一夜未了情,李小冉;丁勇岱;宋晓英;周海媚;方中信;,大地时代电影文化传播(北京)有限公司;龙标（北京）文化发展有限公司;北京同诚锐和文化传播有限公司;,亚太华影（北京）影业有限公司;,江澄;,
,,,,,,,一夜迷情,吉约姆·卡内;安松·蒙特;伊娃·门德斯;凯拉·奈特莉;萨姆·沃辛顿;斯科特·埃德希特;格里芬·邓恩;斯蒂芬·梅尔勒;史蒂夫·安托努奇;,Monopole-Pathé ;FS Film Oy ;米拉麦克斯;Dutch FilmWorks (DFW) ;Medusa Distribuzione ;Optimum Releasing ;Star Entertainment ;Odeon ;Walt Disney Studios Motion Pictures ;IPA Asia Pacific ;ACME ;Benelux Film Distributors ;Zon Lusomundo Audiovisuais ;Acme Film ;E1 ,高蒙公司;,,
喜剧,238.3,237.390000,2016/1/19,一家老小向前冲,2016/1/22,一家老小向前冲,一家老小向前冲,柳岩;杜海涛;彭宇;王湘平;李小嘉;岳菁蔚;宋哲民;王永光;杨珊珊;宋谷;,北京基点影视文化传媒有限公司;,世纪百年影业（天津）有限公司;湖南广播电视台经视频道;北京万象传媒广告有限公司;果实戏剧工作室;,李平;,
喜剧/青春,688,687.170000,2013/9/16,一座城池,2013/9/18,一座城池,一座城池,谢芳;房祖名;王太利;杨地;黄瀞怡;李长江;小薰;,北京剧角映画文化传媒有限公司;,北京泰丰懿影视文化有限公司;北京惠景文化发展有限公司;北京中视广电经信影视文化中心;苏州影像巨魔影视投资管理有限公司;,孙渤涵;,
喜剧,8268.4,8276.360000,2015/12/29,一念天堂,2015/12/31,一念天堂,一念天堂,马丽;沈腾;王子子;杜晓宇;,珠江影业传媒股份有限公司;,北京天河盛宴国际文化传媒有限公司;凯德盛世（北京）投资管理有限公司;和云筹（北京）网络科技有限公司;,张承;,
,,70.440000,2016/9/15,一条叫王子的狗,2016/9/15,一条叫王子的狗,一条叫王子的狗,钟佳琪;王子;鲍起静;罗兰;那威;,华海光影北京国际影视文化传媒有限公司;,雪之梦（北京）影业有限公司;北京强强盛世文化发展有限公司;,杨健武;,
剧情/爱情,3.8,4.400000,2016/8/19,一棵心中的许愿树,2016/8/19,一棵心中的许愿树,一棵心中的许愿树,刘香萍;贝安琪;邱伟棠;刘慕贞;周聪玲;陶明莺;黄敏德;戴伊杨;马斯·施特默;黎萱;萨宾·塔布瑞亚;露丝玛莉;标金宝;瑟琳·桑德斯卓姆;弗洛里安·克莱德;安东尼·桑德斯卓姆;刘福明;张月娥;吴嘉龙;米雪;洪天明;丹尼斯·凯勒;奥黛丽·兰德斯;尹子维;蒋雯丽;高志森;,广东大地电影院线有限公司;北京卓然影业有限公司;上海泰时广告有限公司;中国电影集团公司;中国电影股份有限公司;,香港沙龙电影有限公司;刘氏国际影业有限公司;,刘香萍;,刘香萍;
,,0.860000,2014/12/17,一步之城,,,一步之城,惠英红;王伟华;,,北京玲珑青文化传播有限公司;,李思易;,
喜剧/歌舞/爱情,51494.6,51494.580000,2014/12/16,一步之遥,2014/12/18,一步之遥,一步之遥,牛犇;葛优;王志文;姜文;文章;周韵;刘索拉;洪晃;那英;舒淇;刘利年;,北京不亦乐乎电影文化发展有限公司;五洲电影发行有限公司;东阳一步到位影视有限公司;无锡旗开得胜影视有限公司;大众点评网;万达影视传媒有限公司;,上海电影（集团）有限公司;哥伦比亚电影制作（亚洲）有限公司;英皇电影有限公司;北京不亦乐乎电影文化发展有限公司;东阳一步到位影视有限公司;无锡旗开得胜影视有限公司;万达影视传媒有限公司;,姜文;,
