0.5的爱情,﻿爱情,2014/9/12,蒲巴甲;李悦铭;江语晨;龚洁;,北京帧画影视文化传播有限公司;,河北志宝文化传媒有限公司;北京上视之光影视科技有限公司;,邢潇;,,56,1,1
我的新野蛮女友,爱情/喜剧,2016/4/22,宋茜;车太贤;宋玉淑;王志强;庾恩美;严智星;裴晟祐;藤井美菜;郑硕溶;崔秦豪;,北京摩天轮文化传媒有限公司;,北京摩天轮文化传媒有限公司;浙江星河文化经纪有限公司;浙江恒扬文化传媒有限公司;韩国shincine;浙江星河恒扬文化传媒有限公司;,赵根植;,,3418.6,1,1
我的早更女友,爱情/喜剧,2014/12/12,佟大为;钟汉良;李静;白客;莫熙儿;张梓琳;周迅;陈辉虹;郭书瑶;吴彼;,华夏电影发行有限责任公司;新丽传媒股份有限公司;,深圳市腾讯视频文化传播有限公司;新丽传媒股份有限公司;北京三快在线科技有限公司;,郭在容;,,16180.7,1,1
我的母亲,爱情/家庭,2013/9/17,邵峰;曲海峰;张仪嘉;范雨林;嘉男海林;文俊辉;,北京今典影业有限公司;,河南电影制片厂;深圳艺宝文化传播有限公司;杰森（北京）影视文化发展有限公司;,盛先庭;高根荣;,,0.4,1,1
我的特工爷爷,动作/惊悚/悬疑,2016/4/1,石天;徐克;麦嘉;胡军;宋佳;李勤勤;冯绍峰;朱雨辰;刘德华;洪金宝;彭于晏;冯嘉怡;陈沛妍;,安乐（北京）电影发行有限公司;天津联瑞影业有限公司;,安乐影片有限公司;映艺娱乐有限公司;安乐（北京）电影发行有限公司;万诱引力电影公司;北京数字印象文化传播有限公司;好朋友娱乐有限公司;上海腾讯企鹅影业文化传播有限公司;,洪金宝;,,32443.9,1,1
我的狗狗我的爱,剧情,2012/12/29,王凯;黄翠如;黄淑仪;,,骄阳电影有限公司;金港国际电影制作公司;,陈丽英;,,36.5,1,1
我的男友和狗,爱情,2015/6/19,张钧甯;吴朋奉;丁春诚;何润东;赖佩霞;池端玲名;薛仕凌;谢琼暖;梁赫群;郑有杰;黄姵嘉;,华夏电影发行有限责任公司;,福建恒业影业有限公司;岗华影视传播有限公司;,陈慧翎;,,2419.3,1,1
我的男男男男朋友,爱情/喜剧/浪漫/都市,2013/11/15,胡兵;印小天;谢娜;何晶晶;雷诺儿;李承铉;刘令飞;翁艳;,北京联艺电影发行有限公司;,北京华瑞鑫艺国际文化传媒有限公司;深圳创天影视文化投资有限公司;北京嘉娱帝华文化传媒有限责任公司;东阳瞻龙瞩凤影视文化传播有限公司;北京中鼎华娱影视文化有限公司;,赵崇基;,,780.1,1,1
我的美丽王国,爱情/喜剧,2013/12/13,周秀娜;巩新亮;林菀;王翔恩;顾璇;李颖芝;班杰;程俊;陈汉典;,华夏电影发行有限责任公司;上海银润传媒广告有限公司;,北京缘鑫国际文化传媒有限公司;河南暴风雨文化投资有限公司;北京万森群星影视文化传播有限公司;,麦咏麟;,,57.2,1,1
我的老婆是只猫,动画,2013/2/14,周艳泓;,,中影动画产业有限公司;北京中奥影迪动画制作有限公司;凯天网络有限责任公司;,黄军;,,164.7,1,1
我的老婆是明星,喜剧/爱情,2016/4/8,林德信;朱薰;李润庭;王晓君;符晓薇;古天祥;刘心悠;周柏豪;蔡洁;蒋志光;李尚正;郭伟亮;叶佩雯;李逸朗;杜德伟;连诗雅;卢海鹏;林盛斌;邵美琪;车婉婉;庄思敏;田启文;赵硕之;黄文慧;余慕莲;,广州星伯乐文化传播有限公司;指点影业（北京）有限公司;星光联盟影业无锡有限公司;,星光联盟影业无锡有限公司;正能量影业无锡有限公司;帼星电影文化产业（北京）有限公司;,翁秀兰;,,147.9,1,1
我的诗篇,纪实/纪录片,2015/11/1,许立志;邬霞;吉克阿优;老井;乌鸟鸟;陈年喜;,,爱奇艺影业（北京）有限公司;大象微记录;上海易腾影视文化有限公司;蓝狮子文化创意有限公司;北京而立视界文化有限公司;,吴飞跃;秦晓宇;,,79.4,1,1
我的青春期,爱情/喜剧,2015/11/11,包贝尔;孙怡;冯四;,华夏电影发行有限责任公司;五洲电影发行有限公司;万达影视传媒有限公司;,万达影业（青岛）有限公司;光棍儿（北京）文化发展有限公司;浙江光棍儿影视文化有限公司;北京影行天下文化传播有限公司;万达影视传媒有限公司;,郝杰;,,1230.4,1,1
我的青春蜜友,爱情,2014/10/10,彭博;孙茜;李泰;汤晶媚;张群;吴弘;李若嘉;,北京国龙影业发行股份有限公司;北京华夏兄弟国际文化传媒有限公司;,北京华夏兄弟国际文化传媒有限公司;咸宁市城市建设投资开发有限公司;咸宁市旅游局;,赵翀;,,56.7,1,1
我老公不靠谱,喜剧,2012/12/7,张歆艺;张学润;郑伊健;邵音音;卢海鹏;蔡卓妍;郑欣宜;赵硕之;戴梦梦;倪晨曦;曾国祥;张继聪;关楚耀;林珊珊;王祖蓝;徐正曦;贾晓晨;,北京新影联影业有限责任公司;大地时代电影文化传播(北京)有限公司;北京综艺星皓文化传播有限公司;麒麟网（北京）影视文化传媒有限公司;北京安石英纳电影发行公司;,寰宇娱乐有限公司;广州英明文化传播有限公司;北京综艺星皓文化传播有限公司;太阳娱乐文化有限公司;,阮世生;,,2596.1,1,1
我要上学,剧情,2014/12/29,陈姗姗;邱雨梦;肖建新;,,抚州市鸿文文化传媒有限公司;江西抚州鸿文文化传媒有限公司;,李石川;,,0,1,1
我要你开花,喜剧,2015/1/23,夏炎;强巴才丹;刘洋;,北京斓景盛世文化传媒有限公司;,黄太吉;春光映画（北京）文化传播有限公司;,黄微;,,77.8,1,1
战火中的芭蕾,战争,2015/8/21,杜源;刘之冰;侯天来;陈瑾;吴军;娜塔丽亚·苏尔科娃;曹舒慈;卡列斯科夫·伊戈尔;,北京新影联影业有限责任公司;华夏电影发行有限责任公司;,八一电影制片厂;国家新闻出版广电总局电影卫星频道节目制作中心;北京新影联影业有限责任公司;华夏电影发行有限责任公司;中共黑龙江省委宣传部;黑龙江广播电视台;黑龙江龙视文化传媒集团;,董亚春;,,1210.4,1,1
战狼,动作/战争,2015/4/2,倪大红;吴京;石兆琪;余男;周晓鸥;斯科特·阿金斯;,福建恒业影业有限公司;,北京春秋时代文化有限公司;北京登峰国际文化传播有限公司;南京军区政治部电视艺术中心;,吴京;,,54444.2,1,1
房不剩防,,2013/1/1,方青卓;赵毅;张少华;李勤勤;柳岩;吴超;何云伟;李念;张大礼;陈羽凡;陈有旺;颜冠英;干露露;姜超;,北京紫禁城三联影视发行有限公司;北京盛世新影影视发行有限公司;,北京盛世华锐电影投资管理有限公司;九州天成影视文化有限公司;孙达电影工作室;昊星姐弟（北京）国际文化传媒有限公司;,孙达;,,377.920000,2,2
房车奇遇,爱情/喜剧,2014/10/14,林雪;刘芸;熊乃瑾;朱丹;连凯;马元;,山海童蒙文化传媒有限公司;,北京宏德辉煌文化投资有限公司;,路阳;,,50.5,1,1
所以……和黑粉结婚了,爱情,2016/6/30,袁姗姗;朴灿烈;徐贤;姜潮;,博纳影业集团;,北京欢乐影业有限公司;北京捷成时代文化传媒有限公司;喜剧者联盟影业;博纳影业集团;,金帝荣;,,8107.1,1,1
扑通扑通我的人生,剧情,2015/3/13,宋慧乔;曹成穆;姜栋元;,,,李在容;,,559.2,1,1
打工老板,剧情,2014/10/21,姚安濂;汤嬿;黄精一;赵炬;石荣;,,深圳市华浩文化传媒有限公司;,张唯;,,61.3,1,1
打开天窗说亮话,剧情,2015/12/4,,,南京明博文化传播有限公司;,,,0,1,1
托马斯和朋友们多多岛之迷失宝藏,动画,2016/2/20,凯瑞·莎勒;杰米·坎贝尔·鲍尔;威廉·霍普;蒂姆·怀特纳;汤姆·斯托顿;约瑟夫·梅;约翰·赫特;奥莉薇娅·柯尔曼;埃迪·雷德梅恩;,华夏电影发行有限责任公司;上海善喜影视传媒有限公司;,HIT Entertainment Ltd. ;Arc Productions ;,大卫·斯托滕;,,1796.7,1,1
扫毒,动作/犯罪/警匪,2013/11/29,袁泉;释延能;马浴柯;刘青云;古天乐;李兆基;卢惠光;张家辉;卢海鹏;林国斌;吴廷烨;吴岱融;罗兰;维他亚·潘斯林加姆;,华夏电影发行有限责任公司;,香港银都机构有限公司;寰宇娱乐有限公司;天狼星电影国际有限公司;太阳娱乐文化有限公司;谷乐乐投资有限公司;,陈木胜;,,23788,1,1
找个高富帅,爱情/喜剧,2014/11/7,徐申东;陈童;曲昱曈;妍子沁;王乐天;张惠鑫;李飞;,,嘉兴尚文文化传媒有限公司;上海极杜文化传播有限公司;眉山东坡宋城文化旅游发展有限公司;眉山极杜文化传播有限公司;深圳前海泰东文化传媒有限公司;杭州迈拓品牌策划有限公司;深圳川安视星;,陈童;,,91.3,1,1
抢劫坚果店,动画/喜剧/冒险,2014/12/26,威尔·阿奈特;莎拉·加顿;玛娅·鲁道夫;乔·平格;朴载相;杰夫·敦哈姆;布兰登·费舍;连姆·尼森;加布里埃尔·伊格莱..;史蒂芬·朗;凯瑟琳·海格尔;,华夏电影发行有限责任公司;,,彼得·列佩尼奥提斯;,,3637.7,1,1
报国之路,纪录片,2014/9/29,,,上海电影（集团）有限公司;,,,24.3,1,1
抱养奇缘,剧情,2015/3/24,陶慧敏;姜宏波;高斯;邵峰;,,晋尚中天影视文化传播（北京）有限公司;吕梁市鑫晖文化传媒有限公司;,刘潇珂;,,0,1,1
拆散专家,爱情,2014/11/7,林雪;贾一平;张峻宁;黄圣依;刘天佐;,国盛新影（北京）影视发行有限公司;北京宇际星海广告有限公司;,宇际星海传媒;北京笨鸟高飞影视文化有限公司;北京百度糯米信息技术有限公司;北京玖门肆城影视文化有限公司;,李坚;裘仲维;,,637.5,1,1
拐杖,剧情,2013/7/5,黄一惠;鲜科;朱明月;刘川;,华夏电影发行有限责任公司;,华夏电影发行有限责任公司;湖北电影制片厂;湖北中盟影视有限公司;武汉五洲恒顺创业投资管理有限公司;,童江南;,,3.5,1,1
拯救大明星,动画,2014/1/25,蒂姆·康威;克里斯·钮;特里·斯通;洛尔·克拉克;琼·柯琳斯;马克·伊万尼尔;克雷格·法布拉斯;马丁·弗瑞曼;阿什丽·提斯代尔;蒂姆·克里;帕姆·费里斯;,华夏电影发行有限责任公司;,,莱昂·朱森;,,440.3,1,1
拳霸风云,动作/爱情,2015/6/26,杜海涛;梁家仁;冯刚;冯馨瑶;崔允素;谷尚蔚;,爱奇艺影业（北京）有限公司;,中视尚影（北京）文化传媒有限公司;青岛飞拉利集团有限公司;高龙控股有限公司;上海飞科电器股份有限公司;北京昆尚文化传媒有限责任公司;,臧溪川;,,133.2,1,1
指尖太阳,动画/儿童,2012/9/25,王涛;曾美玲;江捍东;黄译萱;洪慧;张宝林;,,深圳铁色高原文化传播有限公司;,覃杰;黄河;,,13.7,1,1
挑战者联盟,动画/动作,2014/9/5,鲁伯特·格林特;彼得·塞拉菲诺威茨;安东尼·海德;罗伯·布莱顿;帕博罗·拉格;大卫·马萨荷尼克;胡安·何塞·坎帕内利亚;纳尔夫·李特;阿里斯塔尔·麦高万;,华夏电影发行有限责任公司;,,胡安·何塞·坎帕内利亚;,,621.8,1,1
挪威的森林,,2013/5/5,高良健吾;玉山铁二;雾岛丽香;饭田孝男;柄本时生;松山健一;菊地凛子;水原希子;,安乐影片有限公司;Mongrel Media ;上海华宇电影股份有限公司;Vértigo Films ;United King Films ;Cathay-Keris Films ;Sahamongkolfilm Co. ;Pretty Pictures ;东宝株式会社;山水国际娱乐股份有限公司;Lumière Productie ;Lusomundo ;Benelux Film Distributors ;Mongkol Major ;Fuji Television Network ;Curious F,,陈英雄;,,294.570000,2,2
捉妖记,魔幻/喜剧,2015/7/16,姜武;郭晓冬;闫妮;钟汉良;姚晨;白百何;井柏然;王栎鑫;张悦轩;田雨橙;吴君如;曾志伟;汤唯;金燕玲;李菁菁;保剑锋;,安乐（北京）电影发行有限公司;天津联瑞影业有限公司;,安乐影片有限公司;合一影业有限公司;深圳市腾讯视频文化传播有限公司;安乐（北京）电影发行有限公司;北京数字印象文化传播有限公司;北京联瑞影业有限公司;浙江星河文化经纪有限公司;浙江三乐影业有限公司;冠星娱乐有限公司;,许诚毅;,,243952,1,1
换个活法,剧情,2016/9/1,朱雨辰;丁柳元;,,,,,6.3,1,1
换爱七日,爱情/喜剧,2014/11/21,景岗山;余心恬;李彬;翁虹;王鑫尧;张赫;徐岑子;尹正;,祖恩影视文化传媒（北京）有限公司;,祖恩影视文化传媒（北京）有限公司;,唐旭;,,18.5,1,1
探灵档案,惊悚/悬疑,2015/10/23,潘粤明;朱雨辰;马浴柯;吴昕;陈国坤;洪天明;莫小棋;王景春;,宁波枫海传媒科技股份有限公司;,深圳市腾讯视频文化传播有限公司;壹马时代传媒（北京）有限公司;山东嘉博文化发展有限公司;北京盛唐时代文化传播有限公司;广州市品晶影视制作有限公司;扬州富海国龙影视投资中心（有限合伙）;京兆鸿（北京）投资管理有限公司;二零一三（北京）影视文化传媒有限公司;,彭发;,,334.1,1,1
探秘者,剧情/冒险,2015/12/31,陈旭;张越涵;吴启华;毛方圆;郭珍霓;俞翔;石峯;,华夏电影发行有限责任公司;,上海星格影业有限公司;上海兴美文化传播有限公司;夏纳文化传播有限公司;上海晨杰文化传媒有限公司;上海魔洲影业有限公司;上海出版印刷高等专科学校;上海盛美影视文化传媒有限公司;,陈星池;,,26,1,1
控制,动作/悬疑/犯罪,2013/11/22,聂远;邵兵;姚晨;李光洁;任达华;王馨平;安以轩;戴立忍;吴彦祖;冯嘉怡;郝柏杰;,银都电影发行有限公司;,香港银都机构有限公司;香港寰亚电影有限公司;华谊兄弟传媒股份有限公司;天映娱乐有限公司;乐视影业（北京）有限公司;凯擘影艺股份有限公司;中国梦电影文化产业有限公司;合信中金投资管理公司;突围电影制片公司;,毕国智;,,4362.8,1,1
推拿,爱情,2014/11/28,郭晓冬;梅婷;张磊;秦昊;黄璐;王志华;穆怀鹏;姜丹;李依伊;黄军军;黄轩;,恒大影视发行有限公司;北京卢米埃时代电影院线有限公司;陕西文投（影视）银海投资有限公司;,海南广播电视总台;恒大影视文化有限公司;陕西文化产业投资控股（集团）有限公司;陕西文投（影视）艺达投资有限公司;华娱时代影业（北京）投资股份有限公司;海南广电传媒影视有限公司;北京梦工作文化艺术有限公司;,娄烨;,,1314.8,1,1
提款机,剧情,2016/6/3,汪明荃;夏雨;关楚耀;黄俊铭;尤凤音;鲍起静;冯淬帆;卢海鹏;邵美琪;米雪;关宝慧;韩马利;周丽淇;胡枫;,中国电影集团公司;,香港星藝有限公司;香港mm2影视娱乐制作有限公司;,任海曜;,,17.1,1,1
搏击迷城,爱情/动作,2015/6/5,何超仪;孙俪;赵柯;李菲儿;刘丹;李依馨;刘兆铭;郑佩佩;渡边奈绪子;艾丽娅;阮小仪;斯琴高娃;陈伟霆;,大银幕(北京)电影发行控股有限公司;,香港电影发展基金;香港电影发展基金会;金港国际电影制作公司;天极数码制作有限公司;金向有限公司;北京百衲龙图文化有限公司;华纳世纪文化产业;内蒙古电影集团有限责任公司;,陈丽英;,,185.7,1,1
搞定岳父大人,,2014/1/1,徐峥;朱琳;林鹏;李凤绪;郭明翔;许绍雄;,浙江横店影视制作有限公司;东阳九天影视传播有限公司;,广东南方电视台;杭州文化广播电视集团;,李海蜀;,,1770.910000,2,2
摇滚水果,喜剧/励志/爱情,2015/11/27,常乐;徐艺;贾康熙;陈霖生;王李丹妮;陈亦飞;,宁波枫海传媒科技股份有限公司;天津金润文化传媒有限公司;,深圳市万象微影传媒有限公司;深圳秀身堂商贸有限公司;深圳市芸萩服饰有限公司;北京市华通银海影视文化传媒有限公司;,魏健;,,52.7,1,1
摇滚英雄,爱情/青春/音乐,2015/6/20,秦昊;刘雅瑟;李梦;李欣冉;王辰昊;逃跑计划;旅行团乐队;张承勋;瘦人乐队;李梦晨;李青云;郭伟龙;马恺曼;,蘭发行团队;星美影业有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心;北京广大时代文化传播有限责任公司;四川意境天地文化传媒有限公司;珠海大卫文化传播有限公司;北京星光影美影视器材有限公司;百灵时代传媒集团有限公司;,谭华;,,180.5,1,1
摇滚藏獒,动画/音乐,2016/7/8,冯小刚;郭德纲;刘芸;于谦;孙越;岳云鹏;郑钧;郭麒麟;基南·汤普森;马特·狄龙;山姆·艾里奥特;刘易斯·布莱克;卢克·威尔逊;艾迪·伊扎德;j·k·西蒙斯;烧饼;jagger;小小岳;乔治·加西亚;梅·惠特曼;,华谊兄弟传媒股份有限公司;,华谊兄弟传媒股份有限公司;华谊兄弟国际有限公司;重庆电影集团有限公司;时代天骄文化传媒有限公司;Reel FX Creative Studios ;Mandoo Pictures Co. ;漫动时空（香港）有限公司;华谊腾讯娱乐有限公司;漫动时空文化发展（天津）有限公司;梦幻工厂文化传媒（天津）股份有限公司;天津画国人动漫创意有限公司;吉姆汉森科技发展（天津）有限公司;MANDOO Pitcures ;北京漫动时空文化传播有限公司;,艾什·布兰农;,郑钧;kyle clark;david b. miller;matthew j. parker;chuck peil;王晓梅;mike bundlie;alonzo ruvalcaba;lauren selig;,3961.9,1,1
摩尔庄园2之海妖宝藏,,2015/2/6,黄渤;周志强;宣晓鸣;阿杰;金峰;张凯;季冠霖;,星美(北京)影业有限公司;北京华映星球国际文化发展有限公司;,星美(北京)影业有限公司;北京卡酷动画卫视;上海淘米网络科技有限公司;北京华映星球国际文化发展有限公司;,刘可欣;,,2483.040000,2,2
摩尔庄园3：魔幻列车大冒险,动画/家庭/冒险,2015/2/5,夏磊;樊俊航;谢添天;冯骏骅;沈达威;醋醋;杨鸥;,,北京卡酷动画卫视;上海淘米网络科技有限公司;湖南电视台金鹰卡通卫视;,李婷婷;,,893.6,1,1
摩尔庄园冰世纪,,2015/2/6,赵晓明;李扬;张凯;周志强;宣晓鸣;陆揆;李立宏;毛毛头;陈倩;季冠霖;,,北京卡酷动画卫视;上海淘米网络科技有限公司;中国教育电视台;北京华映星球国际文化发展有限公司;,刘可欣;,,1747.280000,2,2
摩尔庄园大电影3魔幻列车大冒险,,2016/4/2,杨鸥;夏磊;谢添天;冯骏骅;,华夏电影发行有限责任公司;北京影时空文化传媒有限公司;,上海淘米动画有限公司;,李婷婷;,王毓;程云鹏;汪海兵;,1049.28,1,1
摩登年代,喜剧/爱情,2013/8/23,徐峥;岳小军;王太利;张子枫;张颂文;肖央;杜鹏;王宣予;,大地时代电影发行（北京）有限公司;,大地时代电影文化传播(北京)有限公司;珠江电影集团有限公司;大地时代电影发行（北京）有限公司;北京东方光魔影视文化有限责任公司;广东珠影影视制作有限公司;东阳映亚影视制作有限公司;深圳创天影视文化投资有限公司;,邵晓黎;杜鹏;,,6845,1,1
摩登森林之美食总动员,动画,2014/9/5,冯骏骅;倪春佳;刘宇轩;沈达威;杨鸥;,星乐伟业（北京）文化传播有限公司;,苏州龙辰文化发展有限公司;上海畅梦移动网络科技有限公司;,舒展;,,216.8,1,1
摩纳哥王妃,纪录片/爱情,2014/6/20,妮可·基德曼;米洛·文堤米利亚;蒂姆·罗斯;帕兹·维嘉;帕克·波西;弗兰克·兰格拉;纪尧姆·布里亚;德里克·雅各比;罗杰·阿什顿-格里..;罗伯特·林德森;杰拉丁·萨莫维尔;奥利维尔·瑞鲍汀;伊夫·雅克;珍妮·巴利巴尔;,华夏电影发行有限责任公司;,石头天使影业;七星娱乐集团;,奥利维埃·达昂;,,2628.4,1,1
撒娇女人最好命,爱情,2014/11/28,黄晓明;周迅;隋棠;,华谊兄弟传媒股份有限公司;华谊兄弟国际有限公司;,华谊兄弟传媒股份有限公司;华谊兄弟国际有限公司;正在电影制作有限公司;,彭浩翔;,,23048.6,1,1
擒爱记,,2013/2/22,巩新亮;冯丹滢;谭卓;曾祥程;莫小棋;孔铭;杨金承;王钧赫;刘恩佑;,华夏电影发行有限责任公司;福建恒业影业有限公司;,福建恒业影业有限公司;上海炫映影视传播有限公司;上海聚力传媒技术有限公司;北京影梦国际文化传播有限公司;,韩承桓;,,417.450000,2,2
擦枪走火,喜剧,2015/12/11,吴樾;倪虹洁;喻恩泰;李锐;钟思华;王景春;赵文琪;斯琴高娃;,深圳二十一世纪威克影视传媒有限公司;上海电影股份有限公司影视发行分公司四海电影发行联盟;天津华谊兄弟卖座网电影发行有限公司;,深圳二十一世纪威克影视传媒有限公司;东莞光午文化传播有限公司;,周伟;,,551.9,1,1
放手爱,爱情,2014/4/30,念贤儿;高骏;唐国忠;李梦谦;杜汶泽;蔡卓妍;黄雅莉;洛诗;,北京联艺电影发行有限公司;,深圳创天影视文化投资有限公司;北京盛世德合国际文化传播有限公司;北京合拍欣喜影视文化传媒有限公司;,张敏;,,198.6,1,1
放飞理想,喜剧/励志,2015/9/9,何文辉;罗家英;赵文琪;何建泽;,,华艺娱乐集团有限公司;,高翊浚;,,610.9,1,1
敌后文工队,战争/革命,2015/11/27,,,东莞市群艺影视制作有限公司;珠海世纪星影业有限公司;河北瑞丰晟视文化传媒有限公司;,,,0,1,1
敏感事件,,2013/1/10,冯远征;姚橹;高鑫;安以轩;安钧璨;蒲冰墨;,华夏电影发行有限责任公司;上海基美影业股份有限公司;,上海基美影业股份有限公司;,吉尔·考夫曼;,,230.970000,2,2
救火英雄,动作,2014/1/3,胡军;白冰;任达华;邵音音;谭耀文;廖启智;余文乐;吴浩康;诗雅;安志杰;谢霆锋;洛诗;关智斌;陈伟霆;,华夏电影发行有限责任公司;英皇电影发行（北京）有限公司;,香港寰亚电影有限公司;英皇电影有限公司;珠江影业传媒股份有限公司;,郭子健;,,7746.3,1,1
敢死队2,动作/惊悚/冒险,2012/9/4,李连杰;余男;查克·诺里斯;杰森·斯坦森;利亚姆·海姆斯沃斯;杜夫·龙格尔;布鲁斯·威利斯;兰迪·库卓;尚格·云顿;阿诺·施瓦辛格;西尔维斯特·史泰龙;泰瑞·克鲁斯;斯科特·阿金斯;,Metropolitan Filmexport ;Splendid Film ;Cinemax ;Eagle Films ;Roadshow Films ;,千年电影公司;乐视影业（北京）有限公司;,西蒙·韦斯特;,,33214.9,1,1
敢死队3,动作/惊悚/冒险,2014/9/1,李连杰;梅尔·吉布森;杰森·斯坦森;凯南·鲁兹;韦斯利·斯奈普斯;哈里森·福特;安东尼奥·班德拉斯;罗伯特·戴维;杜夫·龙格尔;兰迪·库卓;阿诺·施瓦辛格;西尔维斯特·史泰龙;格伦·鲍威尔;泰瑞·克鲁斯;隆达·鲁西;,,乐视影业（北京）有限公司;千年影业;,派特里克·休斯;,,45329.5,1,1
整容日记,喜剧/都市,2014/4/4,白百何;张瑶;张大礼;郑中基;郭京飞;,华谊兄弟传媒股份有限公司;我们亚博思电影发行（北京）有限公司;北京联瑞影业有限公司;,香港寰亚电影有限公司;安乐影片有限公司;中影寰亚音像制品有限公司;我们制作有限公司;云南电影制片厂;江苏华红影视投资有限公司;北京联瑞影业有限公司;北京盛世鼎典文化传媒有限公司;东阳横店九天云影视文化工作室;,林爱华;,,8440.8,1,1
整形师·脸,剧情,2015/9/29,,,中影动画产业有限公司;,,,9.6,1,1
斐济99℃爱情,爱情/喜剧,2014/11/21,姚星彤;何琢言;金草;张佑赫;陈天文;李茂;赵多娜;,北京映画天下传媒文化有限公司;完美世界（北京）影视文化有限公司;世纪影业有限公司;,上海星泓文化传播有限公司;励骏会（北京）文化传媒有限公司;北京星泓世纪文化发展有限公司;太平洋岛国贸易与投资专员署;苏州光华集团有限公司;前涌金融信息服务;山东省五莲县人民政府;山东省五莲山旅游风景区管理委员会;斐济大使馆;,陶生;,,127.2,1,1
斗地主,喜剧,2015/9/11,刘桦;潘长江;韩兆;买红妹;殷叶子;雷牧;曹随风;,河北领头羊影视传媒有限公司;天津银河文化传媒有限公司;,河北领头羊影视传媒有限公司;,韩兆;,,80.8,1,1
斗艳,爱情/剧情,2016/9/10,邱凯伟;王君馨;韩冬;袁咏琳;屈彩云;,北京虹合品尚文化传媒有限公司;,深圳狐狸猎犬互动娱乐有限公司;,洪智育;,,0.1,1,1
斗茶,爱情,2014/9/11,杨紫;尔玛依娜;何翔;兰昊宇;涂圣成;冀涛;闫彦龙;,九州中原数字电影院线有限公司;,北京中视远图影视传媒有限公司;北京浩然之气影视文化传媒有限公司;坤艮聚和（北京）文化传媒有限公司;,孟卫国;,,10.8,1,1
斗龙战士之星印罗盘,动画/奇幻,2016/6/1,,天津百逸互娱动漫有限公司;,上海炫动传播股份有限公司;合一信息技术（北京）有限公司;天津百逸互娱动漫有限公司;江西泰豪动漫有限公司;咪咕文化科技有限公司;,黎东泰;,,619.9,1,1
断片儿,爱情/喜剧,2016/2/11,吕中;巩汉林;金珠;朱丽莎;崔可法;沈保平;,华夏电影发行有限责任公司;,浙江泰皇影视文化有限公司;浙江省磐安县碧海青天影视传媒有限公司;浙江红点影视制作有限公司;东阳网传天下文化传媒有限公司;,方晓罡;周艺华;,,1.3,1,1
新地雷战：神勇小子,动画,2014/5/30,,北京东方雅荷文化传播有限公司;,杭州辉煌时代动画制作有限公司;北京卡酷动画卫视;杭州明朗影视制作有限公司;北京东方雅荷文化传播有限公司;建德雨歌动漫制作有限公司;杭州古今时代电影制作有限公司;时代电影动画工坊;,杨广福;蒋惠岩;,,3.1,1,1
新大头儿子和小头爸爸2一日成才,动画/儿童,2016/8/19,林永健;刘纯燕;董浩;鞠萍;林大竣;陈苏;耿晨晨;王淏;哆唻咪;,上海电影股份有限公司影视发行分公司;北京亚细亚影视制作发行有限公司;北京微影时代科技有限公司;五洲电影发行有限公司;天津猫眼文化传媒有限公司;四海电影发行联盟;中国电影股份有限公司北京电影发行分公司;西安曲江影视集团;中国电影集团公司;西安曲江影视投资集团有限公司;,北京亚细亚影视制作发行有限公司;中央电视台央视动画有限公司;合一信息技术（北京）有限公司;中国广播电影电视节目交易中心;鹿鸣影业有限公司;中央电视台少儿频道;中国广播电影节目交易中心;西安曲江影视投资集团有限公司;,何澄;张振益;,,8769.2,1,1
新大头儿子和小头爸爸之秘密计划,动画,2014/9/26,刘纯燕;董浩;绿泡泡;红果果;毛毛虫;鞠萍;,,中央电视台央视动画有限公司;,何澄;,,4243.9,1,1
新天生一对,,2013/1/2,陶泽如;陈楚生;徐若瑄;周渝民;陈嘉桦;唐从圣;丁莎莎;小小彬;猪哥亮;,星美(北京)影业有限公司;,星美(北京)影业有限公司;宽银幕电影工作室;北京光线影业有限公司;柏合丽娱乐传媒集团;安徽广播电视台;台湾文创一号股份有限公司;,朱延平;,,5219.070000,2,2
新娘大作战,爱情/喜剧,2015/8/20,何炅;杨颖;杜海涛;陈晓;井柏然;王一楠;倪妮;奚望;朱亚文;刘金山;,华夏电影发行有限责任公司;天津博纳文化传媒有限公司;,深圳市腾讯视频文化传播有限公司;福斯国际制作公司;博纳影视娱乐有限公司;拔迪创意有限公司;,陈国辉;,,17336.7,1,1
新少林寺,,2013/1/11,范冰冰;吴京;熊欣欣;白冰;释延能;余少群;陈之辉;于海;桑伟淋;梁镜珂;刘德华;成龙;谢霆锋;师小红;,华谊兄弟传媒股份有限公司;,华谊兄弟传媒股份有限公司;英皇电影有限公司;北京银梦影视艺术有限公司;北京乐韬世纪文化传媒有限公司;少林寺文化传播（登封）有限公司;北京美涛佳艺影视文化传播有限责任公司;河南电视台电视剧部;,陈木胜;,,17137.910000,2,2
新年来啦之大闹除夕,动画,2015/2/19,朱小妮;巩大方;李密;马语非;陈昭;付洁;易小寅;赵舒婷;,北京国是经纬科技有限公司;,北京国是经纬科技有限公司;天津滨海新区国是经纬文化传播有限公司;拉萨国是经纬文化传播有限公司;成都国是经纬文化传播有限公司;西藏音像出版社;,于明亮;梁董龙;杨晓君;,,70.3,1,1
