动画/励志/儿童/喜剧,2382.4,2379.23,2015/6/19,三只小猪与神灯,2015/6/27,三只小猪与神灯,三只小猪与神灯,王燕华,华夏电影发行有限责任公司;,华夏电影发行有限责任公司,刘炜;,
爱情,1224.1,1223.05,2015/7/28,三城记,2015/8/27,三城记,三城记,秦海璐,华谊兄弟传媒股份有限公司;,安乐影片有限公司,张婉婷;,
动画,232.4,220.36,2014/3/29,三小强,2014/4/4,三小强,三小强,刘沛,深圳市环球数码影视文化有限公司;,广东环球数码动画制作有限公司,傅燕;,
动作/古装,,,,,2016/8/9,三少爷的剑,三少爷的剑,江一燕,,无限映画电影制作有限公司,尔冬升;,徐克
惊悚/恐怖,791.9,792.48,2015/4/2,三更车库,2015/4/3,三更车库,三更车库,方力申,福建恒业影业有限公司;,北京新影联影业有限责任公司,周耀武;,
爱情/喜剧,135.6,135.38,2013/1/13,三月情流感,2013/3/1,三月情流感,三月情流感,于淼海,上海大万文化传播有限公司,上海大万文化传播有限公司,谢鸣晓;,
,,,,,,,三角地,谢东裕,华夏电影发行有限责任公司;,国家新闻出版广电总局电影卫星频道节目制作中心,陈坤厚;,
,,,,,,,上帝的诊疗簿,吉濑美智子,东宝株式会社;,东宝株式会社;,深川荣洋;,
,,322.71,2013/7/9,下一个奇迹,,,下一个奇迹,秦昊,上海电影股份有限公司影视发行分公司;,上海共创文化传播有限公司;,卓立;,
爱情,254.3,254.96,2014/8/22,下一站再爱你,2014/8/22,下一站再爱你,下一站再爱你,杨梓嫣,北京锐奇伟业国际文化传媒有限公司;,北京锐奇伟业国际文化传媒有限公司,李德威;,
喜剧/动作/悬疑,28400.7,28400.69,2013/6/20,不二神探,2013/6/21,不二神探,不二神探,李连杰,北京光线影业有限公司;,香港影业国际有限公司;,王子鸣;,
,,1984.15,2014/3/20,不再让你孤单,,,不再让你孤单,刘烨,,香港寰亚电影有限公司,刘伟强;,
爱情,1028.3,1017.47,2014/7/18,不再说分手,2014/8/1,不再说分手,不再说分手,周秀娜,华夏电影发行有限责任公司,寰亚影视发行（香港）有限公司,郑丹瑞;,
喜剧/科幻,11178,11167.39,2015/11/28,不可思异,2015/12/4,不可思异,不可思异,王宝强,阿里巴巴影业集团有限公司,华夏电影发行有限责任公司,孙周;,
,,389.26,2013/2/11,不怕贼惦记,,,不怕贼惦记,张馨予,北京紫禁城三联影视发行有限公司,北京影乐鑫海影视文化有限公司;,许传海;,
动作/灾难/惊悚,11041.6,10981.39,2014/9/11,不惧风暴,2014/9/12,不惧风暴,不惧风暴,罗恩·考西,华夏电影发行有限责任公司;,威秀影业,史蒂文·奎里;,
,,,,,,,不明身份,卡尔·马克维斯,Warner Bros. ,TF1 Films Productions ,佐米·希尔拉;,
剧情,4.1,4.15,2016/1/5,不是钱的事,2015/11/10,不是钱的事,不是钱的事,陈美行,,,田玉奎;,
剧情/励志,72.8,73.02,2016/4/9,不朽的时光,2016/4/15,不朽的时光,不朽的时光,王紫逸,象山枫海传媒科技有限公司,长春美辰影业有限公司,闫然;,
