世界屋脊的歌声,剧情,2014/5/23,王仁君;,,山东省泰安市广播电视台,王文杰;,,425.2,1,1
丛林有情狼,,2013/1/12,贾斯汀·朗,A-Film Distribution ,狮门影业家庭娱乐公司;,,,1516.26,2,2
东北偏北,喜剧/犯罪/悬疑,2015/12/11,李滨,合一影业有限公司,合一影业有限公司,张秉坚;,,91.4,1,1
东方中国梦,纪实/纪录片,2013/6/27,果静林,华夏电影发行有限责任公司;,乐在（北京）文化传播有限公司;,杨真;,,49.3,1,1
东方欲晓,纪实/革命/历史,2015/11/17,王霙,,国家新闻出版广电总局电影卫星频道节目制作中心,安澜;,,0.1,1,1
东莞女孩,爱情,2015/9/11,方青卓,肇庆天艺文化传媒有限公司;,肇庆天艺文化传媒有限公司,董振业,,10.5,1,1
丝路英雄·云镝,,2016/9/13,潘时七,中毓北京文化传媒有限公司;,承德非凡影视文化传媒有限责任公司,杨小朴,,61.29,2,1
丢羊,剧情,2015/7/15,任帅;,,兰州浩发影视传媒有限公司;,汪小平;,,8.05,2,1
中国合伙人,爱情/励志/青春,2013/5/17,佟大为,星美(北京)影业有限公司,香港寰亚电影有限公司,陈可辛;,,53880.3,1,1
中国好声音之为你转身,歌舞/纪实,2013/12/27,华少,北京光线影业有限公司;,浙江金球影业有限公司,蔡于位;,,301.6,1,1
临时同居,爱情/喜剧,2014/8/21,杨颖,安乐（北京）电影发行有限公司,安乐影片有限公司,卓韵芝;,,10108.4,1,1
临时约定,爱情/喜剧,2016/4/15,董立范,北京盛雅文化传媒有限公司;,北京盛雅文化传媒有限公司,曹剑;,曹剑;,68.6,1,1
临沧的诱惑,爱情/喜剧,2015/6/24,由立平,峨眉电影集团有限公司;,云南民族电影制片厂;,陈明新;,,0.1,1,1
临终囧事,惊悚/喜剧,2013/5/16,景岗山,浙江博纳影视制作有限公司;,杭州和润影视有限公司;,钱江汉;,,781.9,1,1
为了这片土地,剧情/主旋律/农村/现实,2015/7/1,,,北方联合影视集团有限公司;,宁敬武;,,400.2,1,1
为爱放手,爱情,2016/9/9,姜潮,深圳善为影业股份有限公司,唐城文化传媒股份有限公司;,罗敏;,,46.27,1,1
乌珠穆沁的孩子,剧情,2015/11/27,,,内蒙古巨典文化影视传媒有限公司;,,,0,1,1
乌龙戏凤2012,,2013/1/2,赵立新,上海华宇电影股份有限公司;,北京华录百纳影视股份有限公司,罗安得;,,272.13,2,2
乐乐熊奇幻追踪,动画,2013/6/29,,中影新农村数字放映有限公司;,重庆享弘影视股份有限公司;,成宝钢;,,7.4,1,1
乐翻天,,2013/4/18,宁静,北京光线影业有限公司;,星光国际传媒（集团）有限公司,王岳伦;,,506.86,2,2
乐队,歌舞,2012/7/4,江老蔫儿,,北京派华文化发展有限公司;,彭磊;,,5.8,1,1
乔布斯,纪录片/传记,2013/9/27,维克多·罗塞克,华夏电影发行有限责任公司;,Silver Reel ;,约书亚·迈克尔·斯坦恩;,,1259.2,1,1
九层妖塔,动作/惊悚/魔幻/冒险,2015/9/30,王庆祥,乐视影业（北京）有限公司,乐视影业（北京）有限公司,陆川;,,68280.2,1,1
九条命,,2016/9/9,凯文·史派西,EuropaCorp. Distribution ,法国欧罗巴电影公司,巴里·索南菲尔德;,Mark Gao ,5197.45,1,1
乡村不寂寞,爱情,2015/2/15,,河南郑州冰点奥斯卡院线广告有限公司;,寻梦文化传媒（北京）有限公司,,,3.4,1,1
乡间童谣,剧情,2013/6/1,杨政,,山西创艺影视制片责任公司;,大飞;,,31.3,1,1
乳娘情,剧情/主旋律,2013/12/10,韩月乔,,中国电影家协会,任飞;,,1.1,1,1
了不起的盖茨比,爱情,2013/8/30,莱昂纳多·迪卡普里奥,华夏电影发行有限责任公司;,,巴兹·鲁尔曼;,,8506.3,1,1
二十二,剧情/纪录片,2015/11/11,,,四川七国文化传播有限公司;,郭柯;,,0,1,1
二次曝光,爱情/悬疑,2012/9/29,范冰冰,北京劳雷影业有限公司,北京劳雷影业有限公司,李玉;,,10738.7,1,1
云上太阳,,2013/8/13,龚旋,,北京云上太阳影视文化有限公司;,丑丑;,,20.06,2,2
云中行走,剧情/传记/冒险,2016/1/22,克雷蒙·史鲍尼,华夏电影发行有限责任公司,索尼电影娱乐公司,罗伯特·泽米吉斯;,,9079.3,1,1
云图,科幻/惊悚/悬疑,2013/1/31,朱珠,华夏电影发行有限责任公司,深圳市新原野娱乐传媒有限公司,安迪·沃卓斯基,,17019.8,1,1
五女拜寿,,2013/6/26,宋谷,,湖南乐田电影媒体有限公司;,张伟国;,,172.35,2,2
五月天追梦3DNA,,2013/6/2,林雪,北京小马奔腾文化传媒股份有限公司,卧虎藏龙国际文化传媒（北京）有限公司,孔玟燕,,1557.83,2,2
